ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,,,
CHEMBL511857,188515,0,None,-,1,Human,10.6,pKi,=,10.6,Functional,Agonistactivityathuman5-HT1AreceptorexpressedinhumanHeLacellmembranesassessedasstimulationof[35S]GTPgammaSbindingafter20minsbyliquidscintillationcountinganalysisAgonistactivityathuman5-HT1AreceptorexpressedinhumanHeLacellmembranesassessedasstimulationof[35S]GTPgammaSbindingafter20minsbyliquidscintillationcountinganalysis,ChEMBL,351,4,0,4,3.9,COc1cccc([C@H]2CC[C@H](N3CCN(c4ccccn4)CC3)CC2)c1,10.1016/j.bmc.2015.05.042,,
9909089,186224,0,None,-,1,Human,10.2,pKi,=,10.2,Functional,Antagonistactivityagainsthumanrecombinant5HT1AreceptorexpressedinHEK293cellsassessedasinhibitionof5HT-induced[35S]GTPgammaSbindingbyscintillationproximityassayAntagonistactivityagainsthumanrecombinant5HT1AreceptorexpressedinHEK293cellsassessedasinhibitionof5HT-induced[35S]GTPgammaSbindingbyscintillationproximityassay,ChEMBL,402,4,1,5,3.2,Cc1ccc2c(N3CCN(CCc4ccc5c(c4)NC(=O)CO5)CC3)cccc2n1,10.1021/jm100482n,,
CHEMBL490417,186224,0,None,-,1,Human,10.2,pKi,=,10.2,Functional,Antagonistactivityagainsthumanrecombinant5HT1AreceptorexpressedinHEK293cellsassessedasinhibitionof5HT-induced[35S]GTPgammaSbindingbyscintillationproximityassayAntagonistactivityagainsthumanrecombinant5HT1AreceptorexpressedinHEK293cellsassessedasinhibitionof5HT-induced[35S]GTPgammaSbindingbyscintillationproximityassay,ChEMBL,402,4,1,5,3.2,Cc1ccc2c(N3CCN(CCc4ccc5c(c4)NC(=O)CO5)CC3)cccc2n1,10.1021/jm100482n,,
9909089,186224,0,None,-,1,Human,10.2,pKi,=,10.2,Functional,Antagonistactivityathuman5HT1AassessedasGTPgammaSbindingbyscintillationproximityassayinpresenceof5-HTAntagonistactivityathuman5HT1AassessedasGTPgammaSbindingbyscintillationproximityassayinpresenceof5-HT,ChEMBL,402,4,1,5,3.2,Cc1ccc2c(N3CCN(CCc4ccc5c(c4)NC(=O)CO5)CC3)cccc2n1,10.1016/j.bmcl.2009.02.056,,
CHEMBL490417,186224,0,None,-,1,Human,10.2,pKi,=,10.2,Functional,Antagonistactivityathuman5HT1AassessedasGTPgammaSbindingbyscintillationproximityassayinpresenceof5-HTAntagonistactivityathuman5HT1AassessedasGTPgammaSbindingbyscintillationproximityassayinpresenceof5-HT,ChEMBL,402,4,1,5,3.2,Cc1ccc2c(N3CCN(CCc4ccc5c(c4)NC(=O)CO5)CC3)cccc2n1,10.1016/j.bmcl.2009.02.056,,
46900606,16413,0,None,-,0,Human,10.1,pKi,=,10.1,Functional,Antagonistactivityagainsthumanrecombinant5HT1AreceptorexpressedinHEK293cellsassessedasinhibitionof5HT-induced[35S]GTPgammaSbindingbyscintillationproximityassayAntagonistactivityagainsthumanrecombinant5HT1AreceptorexpressedinHEK293cellsassessedasinhibitionof5HT-induced[35S]GTPgammaSbindingbyscintillationproximityassay,ChEMBL,440,4,0,7,3.7,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C)nnn4-5)CC3)cccc2n1,10.1021/jm100482n,,
CHEMBL1241546,16413,0,None,-,0,Human,10.1,pKi,=,10.1,Functional,Antagonistactivityagainsthumanrecombinant5HT1AreceptorexpressedinHEK293cellsassessedasinhibitionof5HT-induced[35S]GTPgammaSbindingbyscintillationproximityassayAntagonistactivityagainsthumanrecombinant5HT1AreceptorexpressedinHEK293cellsassessedasinhibitionof5HT-induced[35S]GTPgammaSbindingbyscintillationproximityassay,ChEMBL,440,4,0,7,3.7,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C)nnn4-5)CC3)cccc2n1,10.1021/jm100482n,,
46900459,16426,0,None,-,0,Human,10.1,pKi,=,10.1,Functional,Antagonistactivityagainsthumanrecombinant5HT1AreceptorexpressedinHEK293cellsassessedasinhibitionof5HT-induced[35S]GTPgammaSbindingbyscintillationproximityassayAntagonistactivityagainsthumanrecombinant5HT1AreceptorexpressedinHEK293cellsassessedasinhibitionof5HT-induced[35S]GTPgammaSbindingbyscintillationproximityassay,ChEMBL,440,4,0,7,3.7,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4nnc(C)n4-5)CC3)cccc2n1,10.1021/jm100482n,,
CHEMBL1241738,16426,0,None,-,0,Human,10.1,pKi,=,10.1,Functional,Antagonistactivityagainsthumanrecombinant5HT1AreceptorexpressedinHEK293cellsassessedasinhibitionof5HT-induced[35S]GTPgammaSbindingbyscintillationproximityassayAntagonistactivityagainsthumanrecombinant5HT1AreceptorexpressedinHEK293cellsassessedasinhibitionof5HT-induced[35S]GTPgammaSbindingbyscintillationproximityassay,ChEMBL,440,4,0,7,3.7,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4nnc(C)n4-5)CC3)cccc2n1,10.1021/jm100482n,,
9979309,189796,0,None,-,0,Human,10.1,pKi,=,10.1,Functional,Antagonistactivityagainsthumanrecombinant5HT1AreceptorexpressedinHEK293cellsassessedasinhibitionof5HT-induced[35S]GTPgammaSbindingbyscintillationproximityassayAntagonistactivityagainsthumanrecombinant5HT1AreceptorexpressedinHEK293cellsassessedasinhibitionof5HT-induced[35S]GTPgammaSbindingbyscintillationproximityassay,ChEMBL,416,4,0,5,3.3,Cc1ccc2c(N3CCN(CCc4ccc5c(c4)N(C)C(=O)CO5)CC3)cccc2n1,10.1021/jm100482n,,
CHEMBL522257,189796,0,None,-,0,Human,10.1,pKi,=,10.1,Functional,Antagonistactivityagainsthumanrecombinant5HT1AreceptorexpressedinHEK293cellsassessedasinhibitionof5HT-induced[35S]GTPgammaSbindingbyscintillationproximityassayAntagonistactivityagainsthumanrecombinant5HT1AreceptorexpressedinHEK293cellsassessedasinhibitionof5HT-induced[35S]GTPgammaSbindingbyscintillationproximityassay,ChEMBL,416,4,0,5,3.3,Cc1ccc2c(N3CCN(CCc4ccc5c(c4)N(C)C(=O)CO5)CC3)cccc2n1,10.1021/jm100482n,,
