ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,,,
10696930,35821,0,None,-,1,Human,10.1,pEC50,=,10.1,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,506,14,6,6,1.7,NCCc1c[nH]c2ccc(OCC(=O)NCCCNC(=O)COc3ccc4[nH]cc(CCN)c4c3)cc12,10.1021/jm960552l,,
CHEMBL144397,35821,0,None,-,1,Human,10.1,pEC50,=,10.1,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,506,14,6,6,1.7,NCCc1c[nH]c2ccc(OCC(=O)NCCCNC(=O)COc3ccc4[nH]cc(CCN)c4c3)cc12,10.1021/jm960552l,,
9897637,118323,0,None,-,1,Human,10.0,pEC50,=,10,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,828,25,6,8,7.2,NCCc1c[nH]c2ccc(OCCCCCCNS(=O)(=O)c3ccc(-c4ccc(S(=O)(=O)NCCCCCCOc5ccc6[nH]cc(CCN)c6c5)cc4)cc3)cc12,10.1021/jm960552l,,
CHEMBL342323,118323,0,None,-,1,Human,10.0,pEC50,=,10,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,828,25,6,8,7.2,NCCc1c[nH]c2ccc(OCCCCCCNS(=O)(=O)c3ccc(-c4ccc(S(=O)(=O)NCCCCCCOc5ccc6[nH]cc(CCN)c6c5)cc4)cc3)cc12,10.1021/jm960552l,,
10791244,35531,0,None,-,1,Human,9.7,pEC50,=,9.7,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,490,12,4,6,2.7,NCCc1c[nH]c2ccc(OCCN3CCN(CCOc4ccc5[nH]cc(CCN)c5c4)CC3)cc12,10.1021/jm960552l,,
CHEMBL144128,35531,0,None,-,1,Human,9.7,pEC50,=,9.7,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,490,12,4,6,2.7,NCCc1c[nH]c2ccc(OCCN3CCN(CCOc4ccc5[nH]cc(CCN)c5c4)CC3)cc12,10.1021/jm960552l,,
10720301,39705,0,None,-,1,Human,9.7,pEC50,=,9.7,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,504,11,4,6,2.3,NCCc1c[nH]c2ccc(OCCN3CCN(C(=O)COc4ccc5[nH]cc(CCN)c5c4)CC3)cc12,10.1021/jm960552l,,
CHEMBL147851,39705,0,None,-,1,Human,9.7,pEC50,=,9.7,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,504,11,4,6,2.3,NCCc1c[nH]c2ccc(OCCN3CCN(C(=O)COc4ccc5[nH]cc(CCN)c5c4)CC3)cc12,10.1021/jm960552l,,
10531639,120643,0,None,-,1,Human,9.6,pEC50,=,9.6,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,600,11,4,6,3.6,NCCc1c[nH]c2ccc(OCC(=O)N3CCC(C4CCN(C(=O)COc5ccc6[nH]cc(CCN)c6c5)CC4)CC3)cc12,10.1021/jm960552l,,
CHEMBL357830,120643,0,None,-,1,Human,9.6,pEC50,=,9.6,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,600,11,4,6,3.6,NCCc1c[nH]c2ccc(OCC(=O)N3CCC(C4CCN(C(=O)COc5ccc6[nH]cc(CCN)c6c5)CC4)CC3)cc12,10.1021/jm960552l,,
9984109,38602,0,None,-,1,Human,9.6,pEC50,=,9.6,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,518,10,4,6,1.8,NCCc1c[nH]c2ccc(OCC(=O)N3CCN(C(=O)COc4ccc5[nH]cc(CCN)c5c4)CC3)cc12,10.1021/jm960552l,,
CHEMBL146720,38602,0,None,-,1,Human,9.6,pEC50,=,9.6,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,518,10,4,6,1.8,NCCc1c[nH]c2ccc(OCC(=O)N3CCN(C(=O)COc4ccc5[nH]cc(CCN)c5c4)CC3)cc12,10.1021/jm960552l,,
11800592,120356,0,None,-,1,Human,9.5,pEC50,=,9.5,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,540,12,6,6,3.7,NCCc1c[nH]c2ccc(OCC(=O)Nc3ccc(NC(=O)COc4ccc5[nH]cc(CCN)c5c4)cc3)cc12,10.1021/jm960552l,,
CHEMBL356277,120356,0,None,-,1,Human,9.5,pEC50,=,9.5,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,540,12,6,6,3.7,NCCc1c[nH]c2ccc(OCC(=O)Nc3ccc(NC(=O)COc4ccc5[nH]cc(CCN)c5c4)cc3)cc12,10.1021/jm960552l,,
10008868,120496,0,None,-,1,Human,9.4,pEC50,=,9.4,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,609,12,5,7,3.4,NCCc1c[nH]c2ccc(OCC(=O)Nc3ccc(N4CCN(C(=O)COc5ccc6[nH]cc(CCN)c6c5)CC4)cc3)cc12,10.1021/jm960552l,,
CHEMBL357478,120496,0,None,-,1,Human,9.4,pEC50,=,9.4,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,609,12,5,7,3.4,NCCc1c[nH]c2ccc(OCC(=O)Nc3ccc(N4CCN(C(=O)COc5ccc6[nH]cc(CCN)c6c5)CC4)cc3)cc12,10.1021/jm960552l,,
11797158,39761,0,None,-,1,Human,9.4,pEC50,=,9.4,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,435,11,5,5,2.2,NCCc1c[nH]c2ccc(OCCNC(=O)COc3ccc4[nH]cc(CCN)c4c3)cc12,10.1021/jm960552l,,
CHEMBL147901,39761,0,None,-,1,Human,9.4,pEC50,=,9.4,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,435,11,5,5,2.2,NCCc1c[nH]c2ccc(OCCNC(=O)COc3ccc4[nH]cc(CCN)c4c3)cc12,10.1021/jm960552l,,
9832057,51986,0,None,-,1,Human,9.2,pEC50,=,9.2,Functional,Effectiveconcentrationdeterminedbymeasuringinhibitionofforskolin-stimulatedc-AMPformationat5-hydroxytryptamine1BreceptorstablytransfectedinCHOcelllinesEffectiveconcentrationdeterminedbymeasuringinhibitionofforskolin-stimulatedc-AMPformationat5-hydroxytryptamine1BreceptorstablytransfectedinCHOcelllines,ChEMBL,692,16,2,6,4.8,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N(C)Cc3ccc(CN(C)S(=O)(=O)Cc4ccc5[nH]cc(CCN(C)C)c5c4)cc3)cc12,10.1016/s0960-894x(98)00090-0,,
CHEMBL158941,51986,0,None,-,1,Human,9.2,pEC50,=,9.2,Functional,Effectiveconcentrationdeterminedbymeasuringinhibitionofforskolin-stimulatedc-AMPformationat5-hydroxytryptamine1BreceptorstablytransfectedinCHOcelllinesEffectiveconcentrationdeterminedbymeasuringinhibitionofforskolin-stimulatedc-AMPformationat5-hydroxytryptamine1BreceptorstablytransfectedinCHOcelllines,ChEMBL,692,16,2,6,4.8,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N(C)Cc3ccc(CN(C)S(=O)(=O)Cc4ccc5[nH]cc(CCN(C)C)c5c4)cc3)cc12,10.1016/s0960-894x(98)00090-0,,
10836606,164835,0,None,-,1,Human,9.2,pEC50,=,9.2,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,434,13,4,4,4.7,NCCc1c[nH]c2ccc(OCCCCCCOc3ccc4[nH]cc(CCN)c4c3)cc12,10.1021/jm960552l,,
CHEMBL424128,164835,0,None,-,1,Human,9.2,pEC50,=,9.2,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,434,13,4,4,4.7,NCCc1c[nH]c2ccc(OCCCCCCOc3ccc4[nH]cc(CCN)c4c3)cc12,10.1021/jm960552l,,
10647387,39912,0,None,-,1,Human,9.1,pEC50,=,9.1,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,454,10,4,4,4.8,NCCc1c[nH]c2ccc(OCc3cccc(COc4ccc5[nH]cc(CCN)c5c4)c3)cc12,10.1021/jm960552l,,
CHEMBL148022,39912,0,None,-,1,Human,9.1,pEC50,=,9.1,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,454,10,4,4,4.8,NCCc1c[nH]c2ccc(OCc3cccc(COc4ccc5[nH]cc(CCN)c5c4)c3)cc12,10.1021/jm960552l,,
10837858,39528,0,None,-,1,Human,8.8,pEC50,=,8.8,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,464,12,6,5,2.4,NCCc1c[nH]c2ccc(OCCNC(=O)NCCOc3ccc4[nH]cc(CCN)c4c3)cc12,10.1021/jm960552l,,
CHEMBL147677,39528,0,None,-,1,Human,8.8,pEC50,=,8.8,Functional,Inhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cellsInhibitionofforskolin-stimulatedc-AMPformationbyhuman5-hydroxytryptamine1BreceptorexpressedinCHO-K1cells,ChEMBL,464,12,6,5,2.4,NCCc1c[nH]c2ccc(OCCNC(=O)NCCOc3ccc4[nH]cc(CCN)c4c3)cc12,10.1021/jm960552l,,
