ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
5,139,62,None,-3,27,Human,10.2,pEC50,=,10.2,Functional,Agonistactivityat5-HT2Breceptor(unknownorigin)bycalciummobilizationassayAgonistactivityat5-HT2Breceptor(unknownorigin)bycalciummobilizationassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1016/j.bmcl.2020.127511
5202,139,62,None,-3,27,Human,10.2,pEC50,=,10.2,Functional,Agonistactivityat5-HT2Breceptor(unknownorigin)bycalciummobilizationassayAgonistactivityat5-HT2Breceptor(unknownorigin)bycalciummobilizationassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1016/j.bmcl.2020.127511
CHEMBL39,139,62,None,-3,27,Human,10.2,pEC50,=,10.2,Functional,Agonistactivityat5-HT2Breceptor(unknownorigin)bycalciummobilizationassayAgonistactivityat5-HT2Breceptor(unknownorigin)bycalciummobilizationassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1016/j.bmcl.2020.127511
DB08839,139,62,None,-3,27,Human,10.2,pEC50,=,10.2,Functional,Agonistactivityat5-HT2Breceptor(unknownorigin)bycalciummobilizationassayAgonistactivityat5-HT2Breceptor(unknownorigin)bycalciummobilizationassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1016/j.bmcl.2020.127511
5,139,62,None,-3,27,Human,9.3,pEC50,=,9.3,Functional,Agonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/jm801354e
5202,139,62,None,-3,27,Human,9.3,pEC50,=,9.3,Functional,Agonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/jm801354e
CHEMBL39,139,62,None,-3,27,Human,9.3,pEC50,=,9.3,Functional,Agonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/jm801354e
DB08839,139,62,None,-3,27,Human,9.3,pEC50,=,9.3,Functional,Agonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/jm801354e
5,139,62,None,-3,27,Human,9.1,pEC50,=,9.1,Functional,Agonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedascalciumfluxmeasuredeverysecfor3minsbyFLIPRassayAgonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedascalciumfluxmeasuredeverysecfor3minsbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/ml200206z
5202,139,62,None,-3,27,Human,9.1,pEC50,=,9.1,Functional,Agonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedascalciumfluxmeasuredeverysecfor3minsbyFLIPRassayAgonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedascalciumfluxmeasuredeverysecfor3minsbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/ml200206z
