ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
134265828,180778,0,None,3162,2,Human,10.2,pEC50,=,10.2,Functional,Agonistactivityat5-HT2CR(unknownorigin)transfectedinhumanHEK293cellsbyIP3accumulationassayAgonistactivityat5-HT2CR(unknownorigin)transfectedinhumanHEK293cellsbyIP3accumulationassay,ChEMBL,231,2,1,3,1.8,CCCc1ccnc2c1CC[C@@H]1CNCCN21,10.1016/j.bmcl.2021.127872
CHEMBL4765074,180778,0,None,3162,2,Human,10.2,pEC50,=,10.2,Functional,Agonistactivityat5-HT2CR(unknownorigin)transfectedinhumanHEK293cellsbyIP3accumulationassayAgonistactivityat5-HT2CR(unknownorigin)transfectedinhumanHEK293cellsbyIP3accumulationassay,ChEMBL,231,2,1,3,1.8,CCCc1ccnc2c1CC[C@@H]1CNCCN21,10.1016/j.bmcl.2021.127872
5,139,62,None,-3,27,Human,10.1,pEC50,=,10.1,Functional,Agonistactivityathuman5HT2CreceptorexpressedinHEK293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityathuman5HT2CreceptorexpressedinHEK293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/jm801354e
5202,139,62,None,-3,27,Human,10.1,pEC50,=,10.1,Functional,Agonistactivityathuman5HT2CreceptorexpressedinHEK293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityathuman5HT2CreceptorexpressedinHEK293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/jm801354e
CHEMBL39,139,62,None,-3,27,Human,10.1,pEC50,=,10.1,Functional,Agonistactivityathuman5HT2CreceptorexpressedinHEK293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityathuman5HT2CreceptorexpressedinHEK293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/jm801354e
DB08839,139,62,None,-3,27,Human,10.1,pEC50,=,10.1,Functional,Agonistactivityathuman5HT2CreceptorexpressedinHEK293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityathuman5HT2CreceptorexpressedinHEK293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/jm801354e
5,139,62,None,-3,27,Human,10.1,pEC50,=,10.1,Functional,Agonistactivityathuman5HT2CreceptorexpressedinHEK293cellsassessedascalciumfluxmeasuredeverysecfor3minsbyFLIPRassayAgonistactivityathuman5HT2CreceptorexpressedinHEK293cellsassessedascalciumfluxmeasuredeverysecfor3minsbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/ml200206z
5202,139,62,None,-3,27,Human,10.1,pEC50,=,10.1,Functional,Agonistactivityathuman5HT2CreceptorexpressedinHEK293cellsassessedascalciumfluxmeasuredeverysecfor3minsbyFLIPRassayAgonistactivityathuman5HT2CreceptorexpressedinHEK293cellsassessedascalciumfluxmeasuredeverysecfor3minsbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/ml200206z
CHEMBL39,139,62,None,-3,27,Human,10.1,pEC50,=,10.1,Functional,Agonistactivityathuman5HT2CreceptorexpressedinHEK293cellsassessedascalciumfluxmeasuredeverysecfor3minsbyFLIPRassayAgonistactivityathuman5HT2CreceptorexpressedinHEK293cellsassessedascalciumfluxmeasuredeverysecfor3minsbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/ml200206z
DB08839,139,62,None,-3,27,Human,10.1,pEC50,=,10.1,Functional,Agonistactivityathuman5HT2CreceptorexpressedinHEK293cellsassessedascalciumfluxmeasuredeverysecfor3minsbyFLIPRassayAgonistactivityathuman5HT2CreceptorexpressedinHEK293cellsassessedascalciumfluxmeasuredeverysecfor3minsbyFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/ml200206z
