ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
49783414,17461,0,None,-,1,Human,9.8,pEC50,=,9.8,Functional,Agonistactivityat5HT4receptorexpressedinHEK293/L9cellsbycAMPassayAgonistactivityat5HT4receptorexpressedinHEK293/L9cellsbycAMPassay,ChEMBL,320,7,1,5,2.9,CCCCN1CCC(COC(=O)c2ccc(N)cc2OC)CC1,10.1021/jm100668r
CHEMBL1258451,17461,0,None,-,1,Human,9.8,pEC50,=,9.8,Functional,Agonistactivityat5HT4receptorexpressedinHEK293/L9cellsbycAMPassayAgonistactivityat5HT4receptorexpressedinHEK293/L9cellsbycAMPassay,ChEMBL,320,7,1,5,2.9,CCCCN1CCC(COC(=O)c2ccc(N)cc2OC)CC1,10.1021/jm100668r
53354764,2987,25,None,1,2,Human,9.7,pEC50,=,9.7,Functional,Partialagonistactivityathuman5HT4DreceptorexpressedinHEK293cellsassessedascAMPproductionafter30minsbyHTRFassayPartialagonistactivityathuman5HT4DreceptorexpressedinHEK293cellsassessedascAMPproductionafter30minsbyHTRFassay,ChEMBL,432,7,1,8,2.6,OC1(CCOCC1)CN1CCC(CC1)COc1noc2c1c(ccc2)O[C@H]1COCC1,10.1021/jm300953p
9059,2987,25,None,1,2,Human,9.7,pEC50,=,9.7,Functional,Partialagonistactivityathuman5HT4DreceptorexpressedinHEK293cellsassessedascAMPproductionafter30minsbyHTRFassayPartialagonistactivityathuman5HT4DreceptorexpressedinHEK293cellsassessedascAMPproductionafter30minsbyHTRFassay,ChEMBL,432,7,1,8,2.6,OC1(CCOCC1)CN1CCC(CC1)COc1noc2c1c(ccc2)O[C@H]1COCC1,10.1021/jm300953p
CHEMBL2152922,2987,25,None,1,2,Human,9.7,pEC50,=,9.7,Functional,Partialagonistactivityathuman5HT4DreceptorexpressedinHEK293cellsassessedascAMPproductionafter30minsbyHTRFassayPartialagonistactivityathuman5HT4DreceptorexpressedinHEK293cellsassessedascAMPproductionafter30minsbyHTRFassay,ChEMBL,432,7,1,8,2.6,OC1(CCOCC1)CN1CCC(CC1)COc1noc2c1c(ccc2)O[C@H]1COCC1,10.1021/jm300953p
DB12675,2987,25,None,1,2,Human,9.7,pEC50,=,9.7,Functional,Partialagonistactivityathuman5HT4DreceptorexpressedinHEK293cellsassessedascAMPproductionafter30minsbyHTRFassayPartialagonistactivityathuman5HT4DreceptorexpressedinHEK293cellsassessedascAMPproductionafter30minsbyHTRFassay,ChEMBL,432,7,1,8,2.6,OC1(CCOCC1)CN1CCC(CC1)COc1noc2c1c(ccc2)O[C@H]1COCC1,10.1021/jm300953p
53354764,2987,25,None,1,2,Human,9.6,pEC50,=,9.6,Functional,Agonistactivityathuman5HT4EreceptorexpressedinHEK293cellsassessedasincreaseincAMPproductionafter30minsbyHTRFassayAgonistactivityathuman5HT4EreceptorexpressedinHEK293cellsassessedasincreaseincAMPproductionafter30minsbyHTRFassay,ChEMBL,432,7,1,8,2.6,OC1(CCOCC1)CN1CCC(CC1)COc1noc2c1c(ccc2)O[C@H]1COCC1,10.1021/jm300953p
9059,2987,25,None,1,2,Human,9.6,pEC50,=,9.6,Functional,Agonistactivityathuman5HT4EreceptorexpressedinHEK293cellsassessedasincreaseincAMPproductionafter30minsbyHTRFassayAgonistactivityathuman5HT4EreceptorexpressedinHEK293cellsassessedasincreaseincAMPproductionafter30minsbyHTRFassay,ChEMBL,432,7,1,8,2.6,OC1(CCOCC1)CN1CCC(CC1)COc1noc2c1c(ccc2)O[C@H]1COCC1,10.1021/jm300953p
CHEMBL2152922,2987,25,None,1,2,Human,9.6,pEC50,=,9.6,Functional,Agonistactivityathuman5HT4EreceptorexpressedinHEK293cellsassessedasincreaseincAMPproductionafter30minsbyHTRFassayAgonistactivityathuman5HT4EreceptorexpressedinHEK293cellsassessedasincreaseincAMPproductionafter30minsbyHTRFassay,ChEMBL,432,7,1,8,2.6,OC1(CCOCC1)CN1CCC(CC1)COc1noc2c1c(ccc2)O[C@H]1COCC1,10.1021/jm300953p
DB12675,2987,25,None,1,2,Human,9.6,pEC50,=,9.6,Functional,Agonistactivityathuman5HT4EreceptorexpressedinHEK293cellsassessedasincreaseincAMPproductionafter30minsbyHTRFassayAgonistactivityathuman5HT4EreceptorexpressedinHEK293cellsassessedasincreaseincAMPproductionafter30minsbyHTRFassay,ChEMBL,432,7,1,8,2.6,OC1(CCOCC1)CN1CCC(CC1)COc1noc2c1c(ccc2)O[C@H]1COCC1,10.1021/jm300953p
