ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
785909,40768,7,None,1,2,Human,4.3,pEC50,=,4.3,Functional,"PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]",ChEMBL,336,4,1,3,4.1,COc1ccc(CN2CCc3c([nH]c4ccccc34)C2)c(OC)c1C,nan
CHEMBL1487650,40768,7,None,1,2,Human,4.3,pEC50,=,4.3,Functional,"PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]",ChEMBL,336,4,1,3,4.1,COc1ccc(CN2CCc3c([nH]c4ccccc34)C2)c(OC)c1C,nan
1765347,55769,13,None,-1,2,Human,4.1,pEC50,=,4.1,Functional,"PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]",ChEMBL,324,7,2,3,3.8,COc1ccc(CNCCc2c[nH]c3ccccc23)c(OC)c1C,nan
CHEMBL1606743,55769,13,None,-1,2,Human,4.1,pEC50,=,4.1,Functional,"PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]",ChEMBL,324,7,2,3,3.8,COc1ccc(CNCCc2c[nH]c3ccccc23)c(OC)c1C,nan
CHEMBL1625496,55769,13,None,-1,2,Human,4.1,pEC50,=,4.1,Functional,"PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]",ChEMBL,324,7,2,3,3.8,COc1ccc(CNCCc2c[nH]c3ccccc23)c(OC)c1C,nan
253793,10428,41,None,-1,2,Human,4.1,pEC50,=,4.1,Functional,"PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]",ChEMBL,594,2,2,8,6.6,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@H]3N(C)CC2)CCN1C,nan
CHEMBL1169627,10428,41,None,-1,2,Human,4.1,pEC50,=,4.1,Functional,"PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]",ChEMBL,594,2,2,8,6.6,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@H]3N(C)CC2)CCN1C,nan
1795,1545,55,None,-10,4,Human,4.1,pEC50,=,4.1,Functional,"PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]",ChEMBL,299,4,3,5,0.4,CCN(c1nc(N)c(nc1Cl)C(=O)N=C(N)N)C(C)C,nan
4186,1545,55,None,-10,4,Human,4.1,pEC50,=,4.1,Functional,"PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]",ChEMBL,299,4,3,5,0.4,CCN(c1nc(N)c(nc1Cl)C(=O)N=C(N)N)C(C)C,nan
CHEMBL517986,1545,55,None,-10,4,Human,4.1,pEC50,=,4.1,Functional,"PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]PUBCHEM_BIOASSAY:CounterscreenforagonistsofOPRM1-OPRD1heterodimerization:luminescence-basedcell-basedhighthroughputdoseresponseassaytoidentifyagonistsof5-hydroxytryptamine(serotonin)5Areceptor(HTR5A).(Classofassay:confirmatory)[Relatedpubchemassays(depositordefined):AID504326,AID504355,AID504692,AID504904,AID504905]",ChEMBL,299,4,3,5,0.4,CCN(c1nc(N)c(nc1Cl)C(=O)N=C(N)N)C(C)C,nan
