ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
10202564,1483,4,None,-,1,Human,10.2,pEC50,=,10.2,Functional,Agonistactivityat5HT6receptorAgonistactivityat5HT6receptor,ChEMBL,423,6,2,6,3.4,CN(CCc1c[nH]c2c1cc(cc2)NS(=O)(=O)c1c(Cl)nc2n1ccs2)C,10.1021/jm900796p
3217,1483,4,None,-,1,Human,10.2,pEC50,=,10.2,Functional,Agonistactivityat5HT6receptorAgonistactivityat5HT6receptor,ChEMBL,423,6,2,6,3.4,CN(CCc1c[nH]c2c1cc(cc2)NS(=O)(=O)c1c(Cl)nc2n1ccs2)C,10.1021/jm900796p
CHEMBL362628,1483,4,None,-,1,Human,10.2,pEC50,=,10.2,Functional,Agonistactivityat5HT6receptorAgonistactivityat5HT6receptor,ChEMBL,423,6,2,6,3.4,CN(CCc1c[nH]c2c1cc(cc2)NS(=O)(=O)c1c(Cl)nc2n1ccs2)C,10.1021/jm900796p
10202564,1483,4,None,-,1,Human,10.2,pEC50,=,10.2,Functional,Agonistactivityathuman5HT6receptorexpressedinHEK293FcellsassessedasstimulationofcAMPlevelafter30minsbyHTRFassayInhibitionofratadrenergicalpha1receptorAgonistactivityathuman5HT6receptorexpressedinHEK293FcellsassessedasstimulationofcAMPlevelafter30minsbyHTRFassayInhibitionofratadrenergicalpha1receptor,ChEMBL,423,6,2,6,3.4,CN(CCc1c[nH]c2c1cc(cc2)NS(=O)(=O)c1c(Cl)nc2n1ccs2)C,10.1021/jm8009469
3217,1483,4,None,-,1,Human,10.2,pEC50,=,10.2,Functional,Agonistactivityathuman5HT6receptorexpressedinHEK293FcellsassessedasstimulationofcAMPlevelafter30minsbyHTRFassayInhibitionofratadrenergicalpha1receptorAgonistactivityathuman5HT6receptorexpressedinHEK293FcellsassessedasstimulationofcAMPlevelafter30minsbyHTRFassayInhibitionofratadrenergicalpha1receptor,ChEMBL,423,6,2,6,3.4,CN(CCc1c[nH]c2c1cc(cc2)NS(=O)(=O)c1c(Cl)nc2n1ccs2)C,10.1021/jm8009469
CHEMBL362628,1483,4,None,-,1,Human,10.2,pEC50,=,10.2,Functional,Agonistactivityathuman5HT6receptorexpressedinHEK293FcellsassessedasstimulationofcAMPlevelafter30minsbyHTRFassayInhibitionofratadrenergicalpha1receptorAgonistactivityathuman5HT6receptorexpressedinHEK293FcellsassessedasstimulationofcAMPlevelafter30minsbyHTRFassayInhibitionofratadrenergicalpha1receptor,ChEMBL,423,6,2,6,3.4,CN(CCc1c[nH]c2c1cc(cc2)NS(=O)(=O)c1c(Cl)nc2n1ccs2)C,10.1021/jm8009469
6918836,60154,13,None,-,1,Human,9.5,pEC50,=,9.5,Functional,Agonistactivityat5HT6receptorAgonistactivityat5HT6receptor,ChEMBL,427,6,2,3,4.9,CN(C)CCc1c[nH]c2ccc(NS(=O)(=O)c3ccc4c(Cl)cccc4c3)cc12,10.1016/j.bmc.2009.08.006
CHEMBL175835,60154,13,None,-,1,Human,9.5,pEC50,=,9.5,Functional,Agonistactivityat5HT6receptorAgonistactivityat5HT6receptor,ChEMBL,427,6,2,3,4.9,CN(C)CCc1c[nH]c2ccc(NS(=O)(=O)c3ccc4c(Cl)cccc4c3)cc12,10.1016/j.bmc.2009.08.006
6918836,60154,13,None,-,1,Human,9.5,pEC50,=,9.5,Functional,Agonistactivityathuman5HT6receptorexpressedinHEK293FcellsassessedasstimulationofcAMPlevelafter30minsbyHTRFassayInhibitionofratadrenergicalpha1receptorAgonistactivityathuman5HT6receptorexpressedinHEK293FcellsassessedasstimulationofcAMPlevelafter30minsbyHTRFassayInhibitionofratadrenergicalpha1receptor,ChEMBL,427,6,2,3,4.9,CN(C)CCc1c[nH]c2ccc(NS(=O)(=O)c3ccc4c(Cl)cccc4c3)cc12,10.1021/jm8009469
CHEMBL175835,60154,13,None,-,1,Human,9.5,pEC50,=,9.5,Functional,Agonistactivityathuman5HT6receptorexpressedinHEK293FcellsassessedasstimulationofcAMPlevelafter30minsbyHTRFassayInhibitionofratadrenergicalpha1receptorAgonistactivityathuman5HT6receptorexpressedinHEK293FcellsassessedasstimulationofcAMPlevelafter30minsbyHTRFassayInhibitionofratadrenergicalpha1receptor,ChEMBL,427,6,2,3,4.9,CN(C)CCc1c[nH]c2ccc(NS(=O)(=O)c3ccc4c(Cl)cccc4c3)cc12,10.1021/jm8009469
