ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
10952349,34869,0,None,3467,2,Human,9.2,pEC50,=,9.2,Functional,AgonistactivityagainstM4muscarinicreceptorexpressedinRBL-2H3Mastcells.AgonistactivityagainstM4muscarinicreceptorexpressedinRBL-2H3Mastcells.,ChEMBL,564,15,0,10,6.8,CN1CCC=C(c2nsnc2SCCCCCCCCCCSc2nsnc2C2=CCCN(C)C2)C1,10.1021/jm0102405
CHEMBL143434,34869,0,None,3467,2,Human,9.2,pEC50,=,9.2,Functional,AgonistactivityagainstM4muscarinicreceptorexpressedinRBL-2H3Mastcells.AgonistactivityagainstM4muscarinicreceptorexpressedinRBL-2H3Mastcells.,ChEMBL,564,15,0,10,6.8,CN1CCC=C(c2nsnc2SCCCCCCCCCCSc2nsnc2C2=CCCN(C)C2)C1,10.1021/jm0102405
11072401,30526,0,None,12882,2,Human,9.0,pEC50,=,9,Functional,AgonistactivityagainstM4muscarinicreceptorexpressedinRBL-2H3Mastcells.AgonistactivityagainstM4muscarinicreceptorexpressedinRBL-2H3Mastcells.,ChEMBL,592,17,0,10,7.6,CN1CCC=C(c2nsnc2SCCCCCCCCCCCCSc2nsnc2C2=CCCN(C)C2)C1,10.1021/jm0102405
CHEMBL139603,30526,0,None,12882,2,Human,9.0,pEC50,=,9,Functional,AgonistactivityagainstM4muscarinicreceptorexpressedinRBL-2H3Mastcells.AgonistactivityagainstM4muscarinicreceptorexpressedinRBL-2H3Mastcells.,ChEMBL,592,17,0,10,7.6,CN1CCC=C(c2nsnc2SCCCCCCCCCCCCSc2nsnc2C2=CCCN(C)C2)C1,10.1021/jm0102405
9937709,33838,0,None,239,2,Human,8.9,pEC50,=,8.9,Functional,AgonistactivityagainstM4muscarinicreceptorexpressedinRBL-2H3Mastcells.AgonistactivityagainstM4muscarinicreceptorexpressedinRBL-2H3Mastcells.,ChEMBL,560,17,0,10,6.2,CN1CCC=C(c2nsnc2OCCCCCCCCCCCCOc2nsnc2C2=CCCN(C)C2)C1,10.1021/jm0102405
CHEMBL142538,33838,0,None,239,2,Human,8.9,pEC50,=,8.9,Functional,AgonistactivityagainstM4muscarinicreceptorexpressedinRBL-2H3Mastcells.AgonistactivityagainstM4muscarinicreceptorexpressedinRBL-2H3Mastcells.,ChEMBL,560,17,0,10,6.2,CN1CCC=C(c2nsnc2OCCCCCCCCCCCCOc2nsnc2C2=CCCN(C)C2)C1,10.1021/jm0102405
187,253,29,None,1,6,Human,8.0,pEC50,=,8,Functional,AgonistactivityathumanmuscarinicM4receptorexpressedinBHK-21cellscoexpressingGalpha16subunitassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassayAgonistactivityathumanmuscarinicM4receptorexpressedinBHK-21cellscoexpressingGalpha16subunitassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassay,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1021/jm100697g
294,253,29,None,1,6,Human,8.0,pEC50,=,8,Functional,AgonistactivityathumanmuscarinicM4receptorexpressedinBHK-21cellscoexpressingGalpha16subunitassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassayAgonistactivityathumanmuscarinicM4receptorexpressedinBHK-21cellscoexpressingGalpha16subunitassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassay,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1021/jm100697g
65,253,29,None,1,6,Human,8.0,pEC50,=,8,Functional,AgonistactivityathumanmuscarinicM4receptorexpressedinBHK-21cellscoexpressingGalpha16subunitassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassayAgonistactivityathumanmuscarinicM4receptorexpressedinBHK-21cellscoexpressingGalpha16subunitassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassay,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1021/jm100697g
8593,253,29,None,1,6,Human,8.0,pEC50,=,8,Functional,AgonistactivityathumanmuscarinicM4receptorexpressedinBHK-21cellscoexpressingGalpha16subunitassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassayAgonistactivityathumanmuscarinicM4receptorexpressedinBHK-21cellscoexpressingGalpha16subunitassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassay,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1021/jm100697g
CHEMBL667,253,29,None,1,6,Human,8.0,pEC50,=,8,Functional,AgonistactivityathumanmuscarinicM4receptorexpressedinBHK-21cellscoexpressingGalpha16subunitassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassayAgonistactivityathumanmuscarinicM4receptorexpressedinBHK-21cellscoexpressingGalpha16subunitassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassay,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1021/jm100697g
DB03128,253,29,None,1,6,Human,8.0,pEC50,=,8,Functional,AgonistactivityathumanmuscarinicM4receptorexpressedinBHK-21cellscoexpressingGalpha16subunitassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassayAgonistactivityathumanmuscarinicM4receptorexpressedinBHK-21cellscoexpressingGalpha16subunitassessedasincreaseofacetylcholine-inducedcalciumfluxbyFLIPRassay,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1021/jm100697g
187,253,29,None,1,6,Human,8.0,pEC50,=,8,Functional,AgonistactivityatmuscarinichumanM4receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstainingAgonistactivityatmuscarinichumanM4receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstaining,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1016/j.bmcl.2012.05.048
294,253,29,None,1,6,Human,8.0,pEC50,=,8,Functional,AgonistactivityatmuscarinichumanM4receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstainingAgonistactivityatmuscarinichumanM4receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstaining,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1016/j.bmcl.2012.05.048
65,253,29,None,1,6,Human,8.0,pEC50,=,8,Functional,AgonistactivityatmuscarinichumanM4receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstainingAgonistactivityatmuscarinichumanM4receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstaining,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1016/j.bmcl.2012.05.048
8593,253,29,None,1,6,Human,8.0,pEC50,=,8,Functional,AgonistactivityatmuscarinichumanM4receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstainingAgonistactivityatmuscarinichumanM4receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstaining,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1016/j.bmcl.2012.05.048
CHEMBL667,253,29,None,1,6,Human,8.0,pEC50,=,8,Functional,AgonistactivityatmuscarinichumanM4receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstainingAgonistactivityatmuscarinichumanM4receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstaining,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1016/j.bmcl.2012.05.048
DB03128,253,29,None,1,6,Human,8.0,pEC50,=,8,Functional,AgonistactivityatmuscarinichumanM4receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstainingAgonistactivityatmuscarinichumanM4receptorexpressedinBHK-21cellsassessedascalciummobilizationfor6minsbyCalcium4-basedstaining,ChEMBL,146,3,0,2,0.3,CC(=O)OCC[N+](C)(C)C,10.1016/j.bmcl.2012.05.048
CHEMBL4783881,181534,0,None,-,1,Human,8.0,pEC50,=,8,Functional,PositiveallostericmodulationofhumanM4receptor/Gqi5inpresenceofEC20glutamatebycalciummobilizationassayPositiveallostericmodulationofhumanM4receptor/Gqi5inpresenceofEC20glutamatebycalciummobilizationassay,ChEMBL,358,2,2,5,3.1,Cc1c(Cl)nnc2sc(C(=O)NC3Cc4ccccc4C3)c(N)c12,10.1016/j.bmcl.2019.05.026
CHEMBL4798497,182674,0,None,-,1,Human,8.0,pEC50,=,8,Functional,PositiveallostericmodulationofhumanM4receptor/Gqi5inpresenceofEC20glutamatebycalciummobilizationassayPositiveallostericmodulationofhumanM4receptor/Gqi5inpresenceofEC20glutamatebycalciummobilizationassay,ChEMBL,438,4,2,8,2.9,COc1cc(N2CC(NC(=O)c3sc4nnc(Cl)c(C)c4c3N)C2)c(Cl)cn1,10.1016/j.bmcl.2019.05.026
137643460,157577,0,None,-,1,Human,8.0,pEC50,=,8.0,Functional,PositiveallostericmodulationofhumanM4receptorexpressedinCHOcellsco-expressingGqi5assessedasincreaseinacetylcholine-inducedcalciummobilizationPositiveallostericmodulationofhumanM4receptorexpressedinCHOcellsco-expressingGqi5assessedasincreaseinacetylcholine-inducedcalciummobilization,ChEMBL,390,3,2,7,2.2,Cc1nnc2sc(C(=O)NC3CN(c4cc(F)nc(F)c4)C3)c(N)c2c1C,10.1016/j.bmcl.2017.05.014
CHEMBL4088704,157577,0,None,-,1,Human,8.0,pEC50,=,8.0,Functional,PositiveallostericmodulationofhumanM4receptorexpressedinCHOcellsco-expressingGqi5assessedasincreaseinacetylcholine-inducedcalciummobilizationPositiveallostericmodulationofhumanM4receptorexpressedinCHOcellsco-expressingGqi5assessedasincreaseinacetylcholine-inducedcalciummobilization,ChEMBL,390,3,2,7,2.2,Cc1nnc2sc(C(=O)NC3CN(c4cc(F)nc(F)c4)C3)c(N)c2c1C,10.1016/j.bmcl.2017.05.014
CHEMBL1223860,15895,0,None,-100,5,Human,7.0,pEC50,=,7,Functional,AgonistactivityathumanmuscarinicM4receptorexpressedinCHOcellsco-expressingGqi5chimericG-proteinassessedaseffectoncalciummobilizationbyFLIPRassayAgonistactivityathumanmuscarinicM4receptorexpressedinCHOcellsco-expressingGqi5chimericG-proteinassessedaseffectoncalciummobilizationbyFLIPRassay,ChEMBL,390,4,0,5,4.4,CCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)oc4cc(F)c(C)cc43)CC2)CC1,10.1016/j.bmcl.2010.07.097
137656230,158354,0,None,-,1,Human,7.0,pEC50,=,7,Functional,PositiveallostericmodulationofhumanM4receptorexpressedinCHOcellscoexpressingGqi5assessedasincreaseinacetylcholine-inducedcalciummobilizationPositiveallostericmodulationofhumanM4receptorexpressedinCHOcellscoexpressingGqi5assessedasincreaseinacetylcholine-inducedcalciummobilization,ChEMBL,390,4,2,7,3.3,Cc1nnc2sc(C(=O)NCc3ccc(-c4cnccn4)cc3)c(N)c2c1C,10.1016/j.bmcl.2017.04.043
