ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
44271661,161100,0,None,-1,3,Human,9.3,pEC50,=,9.3,Functional,"EffectiveconcentrationshowingagonisticactivitytowardsHumanalpha-1Dadrenergicreceptor,expressedinrat1fibroblastcellswasdeterminedEffectiveconcentrationshowingagonisticactivitytowardsHumanalpha-1Dadrenergicreceptor,expressedinrat1fibroblastcellswasdetermined",ChEMBL,233,4,2,5,0.9,COC(=O)c1ccccc1NCC1=NCCN1,10.1016/s0960-894x(03)00050-7
CHEMBL414185,161100,0,None,-1,3,Human,9.3,pEC50,=,9.3,Functional,"EffectiveconcentrationshowingagonisticactivitytowardsHumanalpha-1Dadrenergicreceptor,expressedinrat1fibroblastcellswasdeterminedEffectiveconcentrationshowingagonisticactivitytowardsHumanalpha-1Dadrenergicreceptor,expressedinrat1fibroblastcellswasdetermined",ChEMBL,233,4,2,5,0.9,COC(=O)c1ccccc1NCC1=NCCN1,10.1016/s0960-894x(03)00050-7
44271661,161100,0,None,-1,3,Human,9.3,pEC50,=,9.3,Functional,Invitroactivationofhumanalpha-1Dreceptorexpressedinrat-1fibroblastsviacalciumusingmobilizationthroughtheGqcoupledPLCpathwayasfunctionalassayInvitroactivationofhumanalpha-1Dreceptorexpressedinrat-1fibroblastsviacalciumusingmobilizationthroughtheGqcoupledPLCpathwayasfunctionalassay,ChEMBL,233,4,2,5,0.9,COC(=O)c1ccccc1NCC1=NCCN1,10.1016/s0960-894x(01)00822-8
CHEMBL414185,161100,0,None,-1,3,Human,9.3,pEC50,=,9.3,Functional,Invitroactivationofhumanalpha-1Dreceptorexpressedinrat-1fibroblastsviacalciumusingmobilizationthroughtheGqcoupledPLCpathwayasfunctionalassayInvitroactivationofhumanalpha-1Dreceptorexpressedinrat-1fibroblastsviacalciumusingmobilizationthroughtheGqcoupledPLCpathwayasfunctionalassay,ChEMBL,233,4,2,5,0.9,COC(=O)c1ccccc1NCC1=NCCN1,10.1016/s0960-894x(01)00822-8
44271661,161100,0,None,-1,3,Human,9.3,pEC50,=,9.3,Functional,Potencyagainstclonedhumanalpha1D-adrenoceptorexpressedinrat-1fibroblasts.Potencyagainstclonedhumanalpha1D-adrenoceptorexpressedinrat-1fibroblasts.,ChEMBL,233,4,2,5,0.9,COC(=O)c1ccccc1NCC1=NCCN1,10.1016/s0960-894x(01)00569-8
CHEMBL414185,161100,0,None,-1,3,Human,9.3,pEC50,=,9.3,Functional,Potencyagainstclonedhumanalpha1D-adrenoceptorexpressedinrat-1fibroblasts.Potencyagainstclonedhumanalpha1D-adrenoceptorexpressedinrat-1fibroblasts.,ChEMBL,233,4,2,5,0.9,COC(=O)c1ccccc1NCC1=NCCN1,10.1016/s0960-894x(01)00569-8
10934575,200134,0,None,-8,5,Human,9.0,pEC50,=,9.0,Functional,AgonistpotencyatAlpha-1Dadrenergicreceptorassayedinrat-1fibroblastsexpressinghumanAlpha-1DadrenergicreceptorAgonistpotencyatAlpha-1Dadrenergicreceptorassayedinrat-1fibroblastsexpressinghumanAlpha-1Dadrenergicreceptor,ChEMBL,235,4,2,4,2.1,CSc1ccc(C)cc1NCC1=NCCN1,10.1021/jm000542r
CHEMBL72441,200134,0,None,-8,5,Human,9.0,pEC50,=,9.0,Functional,AgonistpotencyatAlpha-1Dadrenergicreceptorassayedinrat-1fibroblastsexpressinghumanAlpha-1DadrenergicreceptorAgonistpotencyatAlpha-1Dadrenergicreceptorassayedinrat-1fibroblastsexpressinghumanAlpha-1Dadrenergicreceptor,ChEMBL,235,4,2,4,2.1,CSc1ccc(C)cc1NCC1=NCCN1,10.1021/jm000542r
10198532,203313,0,None,-1,3,Human,8.0,pEC50,=,8,Functional,Potencyagainstclonedhumanalpha1D-adrenoceptorexpressedinrat-1fibroblasts.Potencyagainstclonedhumanalpha1D-adrenoceptorexpressedinrat-1fibroblasts.,ChEMBL,232,4,3,4,0.5,CNC(=O)c1ccccc1NCC1=NCCN1,10.1016/s0960-894x(01)00569-8
CHEMBL95523,203313,0,None,-1,3,Human,8.0,pEC50,=,8,Functional,Potencyagainstclonedhumanalpha1D-adrenoceptorexpressedinrat-1fibroblasts.Potencyagainstclonedhumanalpha1D-adrenoceptorexpressedinrat-1fibroblasts.,ChEMBL,232,4,3,4,0.5,CNC(=O)c1ccccc1NCC1=NCCN1,10.1016/s0960-894x(01)00569-8
44343236,110781,0,None,-15,3,Human,7.0,pEC50,=,7,Functional,ActivationofhumanAlpha-1Dadrenergicreceptorsexpressedinrat-1fibroblastsActivationofhumanAlpha-1Dadrenergicreceptorsexpressedinrat-1fibroblasts,ChEMBL,243,4,1,5,1.7,c1ccc(-c2ccno2)c(OCC2=NCCN2)c1,10.1016/s0960-894x(02)00753-9
CHEMBL327005,110781,0,None,-15,3,Human,7.0,pEC50,=,7,Functional,ActivationofhumanAlpha-1Dadrenergicreceptorsexpressedinrat-1fibroblastsActivationofhumanAlpha-1Dadrenergicreceptorsexpressedinrat-1fibroblasts,ChEMBL,243,4,1,5,1.7,c1ccc(-c2ccno2)c(OCC2=NCCN2)c1,10.1016/s0960-894x(02)00753-9
44574078,178027,0,None,-120,3,Human,6.9,pEC50,=,6.9,Functional,AgonistactivityathumanadrenergicAlpha-1DreceptorexpressedinCHOcellsassessedascalciummobilizationbyFLIPRAgonistactivityathumanadrenergicAlpha-1DreceptorexpressedinCHOcellsassessedascalciummobilizationbyFLIPR,ChEMBL,261,2,0,3,3.3,c1cncc(-c2ccccc2[C@@H]2Cc3nccn3C2)c1,10.1016/j.bmcl.2009.03.166
CHEMBL468711,178027,0,None,-120,3,Human,6.9,pEC50,=,6.9,Functional,AgonistactivityathumanadrenergicAlpha-1DreceptorexpressedinCHOcellsassessedascalciummobilizationbyFLIPRAgonistactivityathumanadrenergicAlpha-1DreceptorexpressedinCHOcellsassessedascalciummobilizationbyFLIPR,ChEMBL,261,2,0,3,3.3,c1cncc(-c2ccccc2[C@@H]2Cc3nccn3C2)c1,10.1016/j.bmcl.2009.03.166
44362146,164236,1,None,-50,3,Human,7.9,pEC50,=,7.9,Functional,"Activationofrecombinanthumanadrenergic,alpha-1Dreceptorexpressedinrat-1fibroblastsassayedviacalciummobilizationthroughGqcoupledPLCpathwayActivationofrecombinanthumanadrenergic,alpha-1Dreceptorexpressedinrat-1fibroblastsassayedviacalciummobilizationthroughGqcoupledPLCpathway",ChEMBL,258,4,1,4,2.8,c1ccc(-c2ccsc2)c(OCC2=NCCN2)c1,10.1016/s0960-894x(01)00764-8
CHEMBL422477,164236,1,None,-50,3,Human,7.9,pEC50,=,7.9,Functional,"Activationofrecombinanthumanadrenergic,alpha-1Dreceptorexpressedinrat-1fibroblastsassayedviacalciummobilizationthroughGqcoupledPLCpathwayActivationofrecombinanthumanadrenergic,alpha-1Dreceptorexpressedinrat-1fibroblastsassayedviacalciummobilizationthroughGqcoupledPLCpathway",ChEMBL,258,4,1,4,2.8,c1ccc(-c2ccsc2)c(OCC2=NCCN2)c1,10.1016/s0960-894x(01)00764-8
2765,924,14,None,-10,7,Human,6.9,pEC50,=,6.9,Functional,ActivationofhumanAlpha-1Dadrenergicreceptorsexpressedinrat-1fibroblastsActivationofhumanAlpha-1Dadrenergicreceptorsexpressedinrat-1fibroblasts,ChEMBL,216,4,1,3,1.9,C1CN=C(N1)COc1ccccc1C1CC1,10.1016/s0960-894x(02)00753-9
515,924,14,None,-10,7,Human,6.9,pEC50,=,6.9,Functional,ActivationofhumanAlpha-1Dadrenergicreceptorsexpressedinrat-1fibroblastsActivationofhumanAlpha-1Dadrenergicreceptorsexpressedinrat-1fibroblasts,ChEMBL,216,4,1,3,1.9,C1CN=C(N1)COc1ccccc1C1CC1,10.1016/s0960-894x(02)00753-9
CHEMBL13852,924,14,None,-10,7,Human,6.9,pEC50,=,6.9,Functional,ActivationofhumanAlpha-1Dadrenergicreceptorsexpressedinrat-1fibroblastsActivationofhumanAlpha-1Dadrenergicreceptorsexpressedinrat-1fibroblasts,ChEMBL,216,4,1,3,1.9,C1CN=C(N1)COc1ccccc1C1CC1,10.1016/s0960-894x(02)00753-9
DB09202,924,14,None,-10,7,Human,6.9,pEC50,=,6.9,Functional,ActivationofhumanAlpha-1Dadrenergicreceptorsexpressedinrat-1fibroblastsActivationofhumanAlpha-1Dadrenergicreceptorsexpressedinrat-1fibroblasts,ChEMBL,216,4,1,3,1.9,C1CN=C(N1)COc1ccccc1C1CC1,10.1016/s0960-894x(02)00753-9
