ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
2435,710,96,None,1,8,Human,9.2,pEC50,=,9.2,Functional,Alpha-2Aadrenergicreceptoragonisticpotencyasinhibitionofforskolin-stimulatedsynthesisofcyclicadenosinemonophosphateAlpha-2Aadrenergicreceptoragonisticpotencyasinhibitionofforskolin-stimulatedsynthesisofcyclicadenosinemonophosphate,ChEMBL,291,1,2,5,1.8,Brc1c(ccc2c1nccn2)NC1=NCCN1,10.1016/0960-894X(95)00391-6
395,710,96,None,1,8,Human,9.2,pEC50,=,9.2,Functional,Alpha-2Aadrenergicreceptoragonisticpotencyasinhibitionofforskolin-stimulatedsynthesisofcyclicadenosinemonophosphateAlpha-2Aadrenergicreceptoragonisticpotencyasinhibitionofforskolin-stimulatedsynthesisofcyclicadenosinemonophosphate,ChEMBL,291,1,2,5,1.8,Brc1c(ccc2c1nccn2)NC1=NCCN1,10.1016/0960-894X(95)00391-6
520,710,96,None,1,8,Human,9.2,pEC50,=,9.2,Functional,Alpha-2Aadrenergicreceptoragonisticpotencyasinhibitionofforskolin-stimulatedsynthesisofcyclicadenosinemonophosphateAlpha-2Aadrenergicreceptoragonisticpotencyasinhibitionofforskolin-stimulatedsynthesisofcyclicadenosinemonophosphate,ChEMBL,291,1,2,5,1.8,Brc1c(ccc2c1nccn2)NC1=NCCN1,10.1016/0960-894X(95)00391-6
5386,710,96,None,1,8,Human,9.2,pEC50,=,9.2,Functional,Alpha-2Aadrenergicreceptoragonisticpotencyasinhibitionofforskolin-stimulatedsynthesisofcyclicadenosinemonophosphateAlpha-2Aadrenergicreceptoragonisticpotencyasinhibitionofforskolin-stimulatedsynthesisofcyclicadenosinemonophosphate,ChEMBL,291,1,2,5,1.8,Brc1c(ccc2c1nccn2)NC1=NCCN1,10.1016/0960-894X(95)00391-6
CHEMBL844,710,96,None,1,8,Human,9.2,pEC50,=,9.2,Functional,Alpha-2Aadrenergicreceptoragonisticpotencyasinhibitionofforskolin-stimulatedsynthesisofcyclicadenosinemonophosphateAlpha-2Aadrenergicreceptoragonisticpotencyasinhibitionofforskolin-stimulatedsynthesisofcyclicadenosinemonophosphate,ChEMBL,291,1,2,5,1.8,Brc1c(ccc2c1nccn2)NC1=NCCN1,10.1016/0960-894X(95)00391-6
DB00484,710,96,None,1,8,Human,9.2,pEC50,=,9.2,Functional,Alpha-2Aadrenergicreceptoragonisticpotencyasinhibitionofforskolin-stimulatedsynthesisofcyclicadenosinemonophosphateAlpha-2Aadrenergicreceptoragonisticpotencyasinhibitionofforskolin-stimulatedsynthesisofcyclicadenosinemonophosphate,ChEMBL,291,1,2,5,1.8,Brc1c(ccc2c1nccn2)NC1=NCCN1,10.1016/0960-894X(95)00391-6
521,1364,59,None,-4,4,Human,9.1,pEC50,=,9.1,Functional,Agonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassayAgonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassay,ChEMBL,200,2,1,1,3.2,Cc1cccc(c1C)[C@@H](c1c[nH]cn1)C,nan
5311068,1364,59,None,-4,4,Human,9.1,pEC50,=,9.1,Functional,Agonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassayAgonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassay,ChEMBL,200,2,1,1,3.2,Cc1cccc(c1C)[C@@H](c1c[nH]cn1)C,nan
835,1364,59,None,-4,4,Human,9.1,pEC50,=,9.1,Functional,Agonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassayAgonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassay,ChEMBL,200,2,1,1,3.2,Cc1cccc(c1C)[C@@H](c1c[nH]cn1)C,nan
CHEMBL778,1364,59,None,-4,4,Human,9.1,pEC50,=,9.1,Functional,Agonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassayAgonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassay,ChEMBL,200,2,1,1,3.2,Cc1cccc(c1C)[C@@H](c1c[nH]cn1)C,nan
DB00633,1364,59,None,-4,4,Human,9.1,pEC50,=,9.1,Functional,Agonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassayAgonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassay,ChEMBL,200,2,1,1,3.2,Cc1cccc(c1C)[C@@H](c1c[nH]cn1)C,nan
2435,710,96,None,1,8,Human,9.1,pEC50,=,9.1,Functional,Agonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassayAgonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassay,ChEMBL,291,1,2,5,1.8,Brc1c(ccc2c1nccn2)NC1=NCCN1,nan
395,710,96,None,1,8,Human,9.1,pEC50,=,9.1,Functional,Agonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassayAgonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassay,ChEMBL,291,1,2,5,1.8,Brc1c(ccc2c1nccn2)NC1=NCCN1,nan
520,710,96,None,1,8,Human,9.1,pEC50,=,9.1,Functional,Agonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassayAgonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassay,ChEMBL,291,1,2,5,1.8,Brc1c(ccc2c1nccn2)NC1=NCCN1,nan
5386,710,96,None,1,8,Human,9.1,pEC50,=,9.1,Functional,Agonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassayAgonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassay,ChEMBL,291,1,2,5,1.8,Brc1c(ccc2c1nccn2)NC1=NCCN1,nan
CHEMBL844,710,96,None,1,8,Human,9.1,pEC50,=,9.1,Functional,Agonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassayAgonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassay,ChEMBL,291,1,2,5,1.8,Brc1c(ccc2c1nccn2)NC1=NCCN1,nan
DB00484,710,96,None,1,8,Human,9.1,pEC50,=,9.1,Functional,Agonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassayAgonistactivityathumanrecombinantalpha-2AreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassay,ChEMBL,291,1,2,5,1.8,Brc1c(ccc2c1nccn2)NC1=NCCN1,nan
218362,200445,4,None,1,3,Human,8.9,pEC50,=,8.9,Functional,AgonisticactivitytowardshumanAlpha-2Aadrenergicreceptorwasmeasuredasabilitytoinhibitforskolin-stimulatedsynthesisofcyclicadenosinemonophosphateAgonisticactivitytowardshumanAlpha-2Aadrenergicreceptorwasmeasuredasabilitytoinhibitforskolin-stimulatedsynthesisofcyclicadenosinemonophosphate,ChEMBL,216,1,1,3,2.0,c1ccc2c(c1)CCCC2NC1=NCCO1,10.1016/0960-894X(94)85032-1
CHEMBL75030,200445,4,None,1,3,Human,8.9,pEC50,=,8.9,Functional,AgonisticactivitytowardshumanAlpha-2Aadrenergicreceptorwasmeasuredasabilitytoinhibitforskolin-stimulatedsynthesisofcyclicadenosinemonophosphateAgonisticactivitytowardshumanAlpha-2Aadrenergicreceptorwasmeasuredasabilitytoinhibitforskolin-stimulatedsynthesisofcyclicadenosinemonophosphate,ChEMBL,216,1,1,3,2.0,c1ccc2c(c1)CCCC2NC1=NCCO1,10.1016/0960-894X(94)85032-1
185076,186346,4,None,11,3,Human,8.9,pEC50,=,8.9,Functional,Alpha-2Aadrenergicreceptoragonisticpotencyasinhibitionofforskolin-stimulatedsynthesisofcyclicadenosinemonophosphateAlpha-2Aadrenergicreceptoragonisticpotencyasinhibitionofforskolin-stimulatedsynthesisofcyclicadenosinemonophosphate,ChEMBL,227,1,2,5,1.3,Cc1c(NC2=NCCN2)ccc2nccnc12,10.1016/0960-894X(95)00391-6
CHEMBL49137,186346,4,None,11,3,Human,8.9,pEC50,=,8.9,Functional,Alpha-2Aadrenergicreceptoragonisticpotencyasinhibitionofforskolin-stimulatedsynthesisofcyclicadenosinemonophosphateAlpha-2Aadrenergicreceptoragonisticpotencyasinhibitionofforskolin-stimulatedsynthesisofcyclicadenosinemonophosphate,ChEMBL,227,1,2,5,1.3,Cc1c(NC2=NCCN2)ccc2nccnc12,10.1016/0960-894X(95)00391-6
521,1364,59,None,-4,4,Human,8.8,pEC50,=,8.8,Functional,Agonistactivityathumanrecombinantalpha2AadrenergicreceptorexpressedinCHOcellsassessedasinductionof[35S]GTPgammaSbindingafter60minsbyscintillationcountingAgonistactivityathumanrecombinantalpha2AadrenergicreceptorexpressedinCHOcellsassessedasinductionof[35S]GTPgammaSbindingafter60minsbyscintillationcounting,ChEMBL,200,2,1,1,3.2,Cc1cccc(c1C)[C@@H](c1c[nH]cn1)C,10.1016/j.bmc.2010.11.020
5311068,1364,59,None,-4,4,Human,8.8,pEC50,=,8.8,Functional,Agonistactivityathumanrecombinantalpha2AadrenergicreceptorexpressedinCHOcellsassessedasinductionof[35S]GTPgammaSbindingafter60minsbyscintillationcountingAgonistactivityathumanrecombinantalpha2AadrenergicreceptorexpressedinCHOcellsassessedasinductionof[35S]GTPgammaSbindingafter60minsbyscintillationcounting,ChEMBL,200,2,1,1,3.2,Cc1cccc(c1C)[C@@H](c1c[nH]cn1)C,10.1016/j.bmc.2010.11.020
835,1364,59,None,-4,4,Human,8.8,pEC50,=,8.8,Functional,Agonistactivityathumanrecombinantalpha2AadrenergicreceptorexpressedinCHOcellsassessedasinductionof[35S]GTPgammaSbindingafter60minsbyscintillationcountingAgonistactivityathumanrecombinantalpha2AadrenergicreceptorexpressedinCHOcellsassessedasinductionof[35S]GTPgammaSbindingafter60minsbyscintillationcounting,ChEMBL,200,2,1,1,3.2,Cc1cccc(c1C)[C@@H](c1c[nH]cn1)C,10.1016/j.bmc.2010.11.020
CHEMBL778,1364,59,None,-4,4,Human,8.8,pEC50,=,8.8,Functional,Agonistactivityathumanrecombinantalpha2AadrenergicreceptorexpressedinCHOcellsassessedasinductionof[35S]GTPgammaSbindingafter60minsbyscintillationcountingAgonistactivityathumanrecombinantalpha2AadrenergicreceptorexpressedinCHOcellsassessedasinductionof[35S]GTPgammaSbindingafter60minsbyscintillationcounting,ChEMBL,200,2,1,1,3.2,Cc1cccc(c1C)[C@@H](c1c[nH]cn1)C,10.1016/j.bmc.2010.11.020
DB00633,1364,59,None,-4,4,Human,8.8,pEC50,=,8.8,Functional,Agonistactivityathumanrecombinantalpha2AadrenergicreceptorexpressedinCHOcellsassessedasinductionof[35S]GTPgammaSbindingafter60minsbyscintillationcountingAgonistactivityathumanrecombinantalpha2AadrenergicreceptorexpressedinCHOcellsassessedasinductionof[35S]GTPgammaSbindingafter60minsbyscintillationcounting,ChEMBL,200,2,1,1,3.2,Cc1cccc(c1C)[C@@H](c1c[nH]cn1)C,10.1016/j.bmc.2010.11.020
44314198,103839,0,None,2,3,Human,8.8,pEC50,=,8.8,Functional,AgonisticactivitytowardshumanAlpha-2Aadrenergicreceptorwasmeasuredasabilitytoinhibitforskolin-stimulatedsynthesisofcyclicadenosinemonophosphateAgonisticactivitytowardshumanAlpha-2Aadrenergicreceptorwasmeasuredasabilitytoinhibitforskolin-stimulatedsynthesisofcyclicadenosinemonophosphate,ChEMBL,210,3,1,3,2.3,CCC[C@H]1CCCCC1NC1=NCCO1,10.1016/0960-894X(94)85032-1
CHEMBL310335,103839,0,None,2,3,Human,8.8,pEC50,=,8.8,Functional,AgonisticactivitytowardshumanAlpha-2Aadrenergicreceptorwasmeasuredasabilitytoinhibitforskolin-stimulatedsynthesisofcyclicadenosinemonophosphateAgonisticactivitytowardshumanAlpha-2Aadrenergicreceptorwasmeasuredasabilitytoinhibitforskolin-stimulatedsynthesisofcyclicadenosinemonophosphate,ChEMBL,210,3,1,3,2.3,CCC[C@H]1CCCCC1NC1=NCCO1,10.1016/0960-894X(94)85032-1
