ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
54670067,71007,84,None,-,1,Human,9.3,pEC50,=,9.3,Functional,Agonistactivityathumanadrenergicalpha2BreceptorexpressedinHEK293cellscoexpressingGqi5proteinbyFLIPRassayAgonistactivityathumanadrenergicalpha2BreceptorexpressedinHEK293cellscoexpressingGqi5proteinbyFLIPRassay,ChEMBL,176,2,4,6,-1.4,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,10.1016/j.bmc.2009.01.065
CHEMBL196,71007,84,None,-,1,Human,9.3,pEC50,=,9.3,Functional,Agonistactivityathumanadrenergicalpha2BreceptorexpressedinHEK293cellscoexpressingGqi5proteinbyFLIPRassayAgonistactivityathumanadrenergicalpha2BreceptorexpressedinHEK293cellscoexpressingGqi5proteinbyFLIPRassay,ChEMBL,176,2,4,6,-1.4,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,10.1016/j.bmc.2009.01.065
11360447,84492,0,None,-23,3,Human,6.0,pEC50,=,6,Functional,Agonistactivityathumanadrenergicalpha-2BreceptorexpressedinCHOcellsassessedasextracellularacidificationbycytosensormicrophysiometryAgonistactivityathumanadrenergicalpha-2BreceptorexpressedinCHOcellsassessedasextracellularacidificationbycytosensormicrophysiometry,ChEMBL,272,4,1,4,3.2,CC(Oc1ccccc1-c1cccs1)C1=NCCN1,10.1021/jm0408215
CHEMBL223829,84492,0,None,-23,3,Human,6.0,pEC50,=,6,Functional,Agonistactivityathumanadrenergicalpha-2BreceptorexpressedinCHOcellsassessedasextracellularacidificationbycytosensormicrophysiometryAgonistactivityathumanadrenergicalpha-2BreceptorexpressedinCHOcellsassessedasextracellularacidificationbycytosensormicrophysiometry,ChEMBL,272,4,1,4,3.2,CC(Oc1ccccc1-c1cccs1)C1=NCCN1,10.1021/jm0408215
11265631,135762,0,None,-22,3,Human,6.0,pEC50,=,6,Functional,Agonistactivityathumanadrenergicalpha-2BreceptorexpressedinCHOcellsassessedasextracellularacidificationbycytosensormicrophysiometryAgonistactivityathumanadrenergicalpha-2BreceptorexpressedinCHOcellsassessedasextracellularacidificationbycytosensormicrophysiometry,ChEMBL,267,4,1,4,2.5,CC(Oc1ccccc1-c1cccnc1)C1=NCCN1,10.1021/jm0408215
CHEMBL373535,135762,0,None,-22,3,Human,6.0,pEC50,=,6,Functional,Agonistactivityathumanadrenergicalpha-2BreceptorexpressedinCHOcellsassessedasextracellularacidificationbycytosensormicrophysiometryAgonistactivityathumanadrenergicalpha-2BreceptorexpressedinCHOcellsassessedasextracellularacidificationbycytosensormicrophysiometry,ChEMBL,267,4,1,4,2.5,CC(Oc1ccccc1-c1cccnc1)C1=NCCN1,10.1021/jm0408215
44371864,50819,0,None,-85,3,Human,6.0,pEC50,=,6,Functional,Agonistactivityathumanadrenoceptoraplha2BexpressedinCHOcellsassessedasrateofextracellularacidificationbycytosensormicrophysiometricanalysisAgonistactivityathumanadrenoceptoraplha2BexpressedinCHOcellsassessedasrateofextracellularacidificationbycytosensormicrophysiometricanalysis,ChEMBL,246,5,1,3,2.6,CCc1cccc(CC)c1OC(C)C1=NCCN1,10.1016/j.bmc.2012.01.035
CHEMBL157955,50819,0,None,-85,3,Human,6.0,pEC50,=,6,Functional,Agonistactivityathumanadrenoceptoraplha2BexpressedinCHOcellsassessedasrateofextracellularacidificationbycytosensormicrophysiometricanalysisAgonistactivityathumanadrenoceptoraplha2BexpressedinCHOcellsassessedasrateofextracellularacidificationbycytosensormicrophysiometricanalysis,ChEMBL,246,5,1,3,2.6,CCc1cccc(CC)c1OC(C)C1=NCCN1,10.1016/j.bmc.2012.01.035
2765,924,14,None,-79,7,Human,6.0,pEC50,=,6,Functional,Agonistactivityathumanalpha2BadrenoceptorexpressedinCHOcellsassessedasextracellularacidificationbycytosensormicrophysiometryAgonistactivityathumanalpha2BadrenoceptorexpressedinCHOcellsassessedasextracellularacidificationbycytosensormicrophysiometry,ChEMBL,216,4,1,3,1.9,C1CN=C(N1)COc1ccccc1C1CC1,10.1021/jm901262f
515,924,14,None,-79,7,Human,6.0,pEC50,=,6,Functional,Agonistactivityathumanalpha2BadrenoceptorexpressedinCHOcellsassessedasextracellularacidificationbycytosensormicrophysiometryAgonistactivityathumanalpha2BadrenoceptorexpressedinCHOcellsassessedasextracellularacidificationbycytosensormicrophysiometry,ChEMBL,216,4,1,3,1.9,C1CN=C(N1)COc1ccccc1C1CC1,10.1021/jm901262f
