ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
521,1364,59,None,4,4,Human,9.3,pEC50,=,9.3,Functional,Agonistactivityathumanrecombinantalpha-2CreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassayAgonistactivityathumanrecombinantalpha-2CreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassay,ChEMBL,200,2,1,1,3.2,Cc1cccc(c1C)[C@@H](c1c[nH]cn1)C,nan
5311068,1364,59,None,4,4,Human,9.3,pEC50,=,9.3,Functional,Agonistactivityathumanrecombinantalpha-2CreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassayAgonistactivityathumanrecombinantalpha-2CreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassay,ChEMBL,200,2,1,1,3.2,Cc1cccc(c1C)[C@@H](c1c[nH]cn1)C,nan
835,1364,59,None,4,4,Human,9.3,pEC50,=,9.3,Functional,Agonistactivityathumanrecombinantalpha-2CreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassayAgonistactivityathumanrecombinantalpha-2CreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassay,ChEMBL,200,2,1,1,3.2,Cc1cccc(c1C)[C@@H](c1c[nH]cn1)C,nan
CHEMBL778,1364,59,None,4,4,Human,9.3,pEC50,=,9.3,Functional,Agonistactivityathumanrecombinantalpha-2CreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassayAgonistactivityathumanrecombinantalpha-2CreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassay,ChEMBL,200,2,1,1,3.2,Cc1cccc(c1C)[C@@H](c1c[nH]cn1)C,nan
DB00633,1364,59,None,4,4,Human,9.3,pEC50,=,9.3,Functional,Agonistactivityathumanrecombinantalpha-2CreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassayAgonistactivityathumanrecombinantalpha-2CreceptorexpressedinPC12cellsassessedasinhibitionofforskolin-stimulatedintracellularcAMPaccumulationmeasuredafter10minsbycAMPenzymeimmunoassay,ChEMBL,200,2,1,1,3.2,Cc1cccc(c1C)[C@@H](c1c[nH]cn1)C,nan
1593,2286,57,None,4,3,Human,8.9,pEC50,=,8.9,Functional,Agonistactivityathumanadrenoceptoraplha2CexpressedinCHOcellsassessedasrateofextracellularacidificationbycytosensormicrophysiometricanalysisAgonistactivityathumanadrenoceptoraplha2CexpressedinCHOcellsassessedasrateofextracellularacidificationbycytosensormicrophysiometricanalysis,ChEMBL,258,3,1,3,2.8,CC(C1=NCCN1)Oc1c(Cl)cccc1Cl,10.1016/j.bmc.2012.01.035
30668,2286,57,None,4,3,Human,8.9,pEC50,=,8.9,Functional,Agonistactivityathumanadrenoceptoraplha2CexpressedinCHOcellsassessedasrateofextracellularacidificationbycytosensormicrophysiometricanalysisAgonistactivityathumanadrenoceptoraplha2CexpressedinCHOcellsassessedasrateofextracellularacidificationbycytosensormicrophysiometricanalysis,ChEMBL,258,3,1,3,2.8,CC(C1=NCCN1)Oc1c(Cl)cccc1Cl,10.1016/j.bmc.2012.01.035
9868,2286,57,None,4,3,Human,8.9,pEC50,=,8.9,Functional,Agonistactivityathumanadrenoceptoraplha2CexpressedinCHOcellsassessedasrateofextracellularacidificationbycytosensormicrophysiometricanalysisAgonistactivityathumanadrenoceptoraplha2CexpressedinCHOcellsassessedasrateofextracellularacidificationbycytosensormicrophysiometricanalysis,ChEMBL,258,3,1,3,2.8,CC(C1=NCCN1)Oc1c(Cl)cccc1Cl,10.1016/j.bmc.2012.01.035
CHEMBL17860,2286,57,None,4,3,Human,8.9,pEC50,=,8.9,Functional,Agonistactivityathumanadrenoceptoraplha2CexpressedinCHOcellsassessedasrateofextracellularacidificationbycytosensormicrophysiometricanalysisAgonistactivityathumanadrenoceptoraplha2CexpressedinCHOcellsassessedasrateofextracellularacidificationbycytosensormicrophysiometricanalysis,ChEMBL,258,3,1,3,2.8,CC(C1=NCCN1)Oc1c(Cl)cccc1Cl,10.1016/j.bmc.2012.01.035
DB04948,2286,57,None,4,3,Human,8.9,pEC50,=,8.9,Functional,Agonistactivityathumanadrenoceptoraplha2CexpressedinCHOcellsassessedasrateofextracellularacidificationbycytosensormicrophysiometricanalysisAgonistactivityathumanadrenoceptoraplha2CexpressedinCHOcellsassessedasrateofextracellularacidificationbycytosensormicrophysiometricanalysis,ChEMBL,258,3,1,3,2.8,CC(C1=NCCN1)Oc1c(Cl)cccc1Cl,10.1016/j.bmc.2012.01.035
