ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
5493324,98354,15,None,208,3,Human,10.8,pEC50,=,10.8,Functional,AgonisticactivityagainsthumanBeta-3adrenergicreceptorascAMPaccumulationinCHOcellsexpressingbeta3-ARAgonisticactivityagainsthumanBeta-3adrenergicreceptorascAMPaccumulationinCHOcellsexpressingbeta3-AR,ChEMBL,402,9,4,4,3.5,C[C@H](Cc1c[nH]c2c(OCC(=O)O)cccc12)NC[C@H](O)c1cccc(Cl)c1,10.1016/s0960-894x(03)00073-8
CHEMBL279260,98354,15,None,208,3,Human,10.8,pEC50,=,10.8,Functional,AgonisticactivityagainsthumanBeta-3adrenergicreceptorascAMPaccumulationinCHOcellsexpressingbeta3-ARAgonisticactivityagainsthumanBeta-3adrenergicreceptorascAMPaccumulationinCHOcellsexpressingbeta3-AR,ChEMBL,402,9,4,4,3.5,C[C@H](Cc1c[nH]c2c(OCC(=O)O)cccc12)NC[C@H](O)c1cccc(Cl)c1,10.1016/s0960-894x(03)00073-8
24936626,17193,0,None,173,3,Human,10.7,pEC50,=,10.7,Functional,Agonistactivityathumanrecombinantadrenergicbeta3receptorexpressedinCHOcellsassessedascyclicAMPformationbyHTRFassayAgonistactivityathumanrecombinantadrenergicbeta3receptorexpressedinCHOcellsassessedascyclicAMPformationbyHTRFassay,ChEMBL,506,9,4,9,3.6,OCc1cc(OCC(O)CNC2CCN(c3ncnc4scc(-c5ccccc5)c34)CC2)ccc1O,10.1016/j.bmcl.2010.08.039
CHEMBL1257555,17193,0,None,173,3,Human,10.7,pEC50,=,10.7,Functional,Agonistactivityathumanrecombinantadrenergicbeta3receptorexpressedinCHOcellsassessedascyclicAMPformationbyHTRFassayAgonistactivityathumanrecombinantadrenergicbeta3receptorexpressedinCHOcellsassessedascyclicAMPformationbyHTRFassay,ChEMBL,506,9,4,9,3.6,OCc1cc(OCC(O)CNC2CCN(c3ncnc4scc(-c5ccccc5)c34)CC2)ccc1O,10.1016/j.bmcl.2010.08.039
44565931,12309,0,None,40,4,Human,10.5,pEC50,=,10.5,Functional,Agonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassayAgonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassay,ChEMBL,552,11,4,8,3.6,CS(=O)(=O)NC(=O)c1ccc(-c2ccc(CCNC[C@H](O)c3cnccc3N)cc2)cc1OC1CCCCC1,10.1021/jm9000709
CHEMBL1186040,12309,0,None,40,4,Human,10.5,pEC50,=,10.5,Functional,Agonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassayAgonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassay,ChEMBL,552,11,4,8,3.6,CS(=O)(=O)NC(=O)c1ccc(-c2ccc(CCNC[C@H](O)c3cnccc3N)cc2)cc1OC1CCCCC1,10.1021/jm9000709
CHEMBL446806,12309,0,None,40,4,Human,10.5,pEC50,=,10.5,Functional,Agonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassayAgonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassay,ChEMBL,552,11,4,8,3.6,CS(=O)(=O)NC(=O)c1ccc(-c2ccc(CCNC[C@H](O)c3cnccc3N)cc2)cc1OC1CCCCC1,10.1021/jm9000709
44565931,12309,0,None,40,4,Human,10.5,pEC50,=,10.5,Functional,Agonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassayAgonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassay,ChEMBL,552,11,4,8,3.6,CS(=O)(=O)NC(=O)c1ccc(-c2ccc(CCNC[C@H](O)c3cnccc3N)cc2)cc1OC1CCCCC1,10.1021/jm9000709
CHEMBL1186040,12309,0,None,40,4,Human,10.5,pEC50,=,10.5,Functional,Agonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassayAgonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassay,ChEMBL,552,11,4,8,3.6,CS(=O)(=O)NC(=O)c1ccc(-c2ccc(CCNC[C@H](O)c3cnccc3N)cc2)cc1OC1CCCCC1,10.1021/jm9000709
CHEMBL446806,12309,0,None,40,4,Human,10.5,pEC50,=,10.5,Functional,Agonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassayAgonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassay,ChEMBL,552,11,4,8,3.6,CS(=O)(=O)NC(=O)c1ccc(-c2ccc(CCNC[C@H](O)c3cnccc3N)cc2)cc1OC1CCCCC1,10.1021/jm9000709
24895263,190307,0,None,1122,3,Human,10.5,pEC50,=,10.5,Functional,Agonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassayAgonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassay,ChEMBL,475,10,4,6,4.6,Nc1ccc([C@@H](O)CNCCc2ccc(-c3ccc(C(=O)O)c(OC4CCCCC4)c3)cc2)cn1,10.1021/jm8000345
CHEMBL529659,190307,0,None,1122,3,Human,10.5,pEC50,=,10.5,Functional,Agonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassayAgonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassay,ChEMBL,475,10,4,6,4.6,Nc1ccc([C@@H](O)CNCCc2ccc(-c3ccc(C(=O)O)c(OC4CCCCC4)c3)cc2)cn1,10.1021/jm8000345
44591508,178256,0,None,1122,3,Human,10.5,pEC50,=,10.5,Functional,Agonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassayAgonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassay,ChEMBL,475,10,4,6,4.6,Nc1ccncc1[C@@H](O)CNCCc1ccc(-c2ccc(C(=O)O)c(OC3CCCCC3)c2)cc1,10.1021/jm9000709
CHEMBL470857,178256,0,None,1122,3,Human,10.5,pEC50,=,10.5,Functional,Agonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassayAgonistactivityathumanrecombinantbeta3adrenergicreceptorexpressedinCHOcellsassessedascAMPaccumulationbyenzymeimmunoassay,ChEMBL,475,10,4,6,4.6,Nc1ccncc1[C@@H](O)CNCCc1ccc(-c2ccc(C(=O)O)c(OC3CCCCC3)c2)cc1,10.1021/jm9000709
