ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
10456166,119018,0,None,-,1,Human,10.6,pEC50,=,10.6,Functional,AgonistactivityathumanD3receptorexpressedinHEK293cellsassessedasinhibitionofforskolin-inducedcAMPaccumulationafter4hrsbyluciferasereportergeneassayAgonistactivityathumanD3receptorexpressedinHEK293cellsassessedasinhibitionofforskolin-inducedcAMPaccumulationafter4hrsbyluciferasereportergeneassay,ChEMBL,444,7,2,3,4.8,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2[nH]1,10.1039/C8MD00237A
CHEMBL346692,119018,0,None,-,1,Human,10.6,pEC50,=,10.6,Functional,AgonistactivityathumanD3receptorexpressedinHEK293cellsassessedasinhibitionofforskolin-inducedcAMPaccumulationafter4hrsbyluciferasereportergeneassayAgonistactivityathumanD3receptorexpressedinHEK293cellsassessedasinhibitionofforskolin-inducedcAMPaccumulationafter4hrsbyluciferasereportergeneassay,ChEMBL,444,7,2,3,4.8,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2[nH]1,10.1039/C8MD00237A
CHEMBL4285942,119018,0,None,-,1,Human,10.6,pEC50,=,10.6,Functional,AgonistactivityathumanD3receptorexpressedinHEK293cellsassessedasinhibitionofforskolin-inducedcAMPaccumulationafter4hrsbyluciferasereportergeneassayAgonistactivityathumanD3receptorexpressedinHEK293cellsassessedasinhibitionofforskolin-inducedcAMPaccumulationafter4hrsbyluciferasereportergeneassay,ChEMBL,444,7,2,3,4.8,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2[nH]1,10.1039/C8MD00237A
52937876,60784,0,None,489,2,Human,10.3,pEC50,=,10.3,Functional,AgonistactivityathumandopamineD3receptorexpressedinHEK293cellsco-expressingGalphao1assessedasincorporationof[35S]GTPgammaSintoGalphao1after30minsbyscintillationcountingAgonistactivityathumandopamineD3receptorexpressedinHEK293cellsco-expressingGalphao1assessedasincorporationof[35S]GTPgammaSintoGalphao1after30minsbyscintillationcounting,ChEMBL,430,10,1,4,4.8,CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)[C@H]1CCn2nccc2C1,10.1021/jm101639t
CHEMBL1765633,60784,0,None,489,2,Human,10.3,pEC50,=,10.3,Functional,AgonistactivityathumandopamineD3receptorexpressedinHEK293cellsco-expressingGalphao1assessedasincorporationof[35S]GTPgammaSintoGalphao1after30minsbyscintillationcountingAgonistactivityathumandopamineD3receptorexpressedinHEK293cellsco-expressingGalphao1assessedasincorporationof[35S]GTPgammaSintoGalphao1after30minsbyscintillationcounting,ChEMBL,430,10,1,4,4.8,CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)[C@H]1CCn2nccc2C1,10.1021/jm101639t
24866114,177954,0,None,223,2,Human,10.2,pEC50,=,10.2,Functional,AgonistactivityathumandopamineD3receptorexpressedinmouseATt-20cellsassessedasstimulationof[35S]GTPgammaSbindingAgonistactivityathumandopamineD3receptorexpressedinmouseATt-20cellsassessedasstimulationof[35S]GTPgammaSbinding,ChEMBL,467,7,1,6,4.4,CCCN(CCN1CCN(c2cccc(Cl)c2Cl)CC1)C1CCc2nc(N)sc2C1,10.1021/jm701524h
CHEMBL468017,177954,0,None,223,2,Human,10.2,pEC50,=,10.2,Functional,AgonistactivityathumandopamineD3receptorexpressedinmouseATt-20cellsassessedasstimulationof[35S]GTPgammaSbindingAgonistactivityathumandopamineD3receptorexpressedinmouseATt-20cellsassessedasstimulationof[35S]GTPgammaSbinding,ChEMBL,467,7,1,6,4.4,CCCN(CCN1CCN(c2cccc(Cl)c2Cl)CC1)C1CCc2nc(N)sc2C1,10.1021/jm701524h
24754400,153927,0,None,19,2,Human,10.1,pEC50,=,10.1,Functional,AgonistactivityathumancloneddopamineD3receptorexpressedinAtT-20cellsassessedasstimulationof[35S]GTP-gamma-SbindingAgonistactivityathumancloneddopamineD3receptorexpressedinAtT-20cellsassessedasstimulationof[35S]GTP-gamma-Sbinding,ChEMBL,423,8,1,5,3.8,CCCN(CCN1CCN(c2ccccc2OC)CC1)C1CCc2c(O)cccc2C1,10.1021/jm070860r
CHEMBL399164,153927,0,None,19,2,Human,10.1,pEC50,=,10.1,Functional,AgonistactivityathumancloneddopamineD3receptorexpressedinAtT-20cellsassessedasstimulationof[35S]GTP-gamma-SbindingAgonistactivityathumancloneddopamineD3receptorexpressedinAtT-20cellsassessedasstimulationof[35S]GTP-gamma-Sbinding,ChEMBL,423,8,1,5,3.8,CCCN(CCN1CCN(c2ccccc2OC)CC1)C1CCc2c(O)cccc2C1,10.1021/jm070860r
24936081,177905,0,None,234,2,Human,10.1,pEC50,=,10.1,Functional,AgonistactivityathumandopamineD3receptorexpressedinmouseATt-20cellsassessedasstimulationof[35S]GTPgammaSbindingAgonistactivityathumandopamineD3receptorexpressedinmouseATt-20cellsassessedasstimulationof[35S]GTPgammaSbinding,ChEMBL,475,8,1,6,4.8,CCCN(CCN1CCN(c2ccc(-c3ccccc3)cc2)CC1)C1CCc2nc(N)sc2C1,10.1021/jm701524h
