ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,,,
10621021,199047,0,None,66,2,Human,10.0,pEC50,=,10,Functional,"Agonistinduced[35S]GTP-gamma-S,bindinginCHOcellsexpressing5-HT1dreceptorAgonistinduced[35S]GTP-gamma-S,bindinginCHOcellsexpressing5-HT1dreceptor",ChEMBL,400,7,1,5,3.5,c1ccc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)cc1,10.1021/jm980204e,,
CHEMBL65367,199047,0,None,66,2,Human,10.0,pEC50,=,10,Functional,"Agonistinduced[35S]GTP-gamma-S,bindinginCHOcellsexpressing5-HT1dreceptorAgonistinduced[35S]GTP-gamma-S,bindinginCHOcellsexpressing5-HT1dreceptor",ChEMBL,400,7,1,5,3.5,c1ccc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)cc1,10.1021/jm980204e,,
10621021,199047,0,None,66,2,Human,10.0,pEC50,=,10,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressing5-hydroxytryptamine1DreceptorStimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressing5-hydroxytryptamine1Dreceptor",ChEMBL,400,7,1,5,3.5,c1ccc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)cc1,10.1021/jm9704560,,
CHEMBL65367,199047,0,None,66,2,Human,10.0,pEC50,=,10,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressing5-hydroxytryptamine1DreceptorStimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressing5-hydroxytryptamine1Dreceptor",ChEMBL,400,7,1,5,3.5,c1ccc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)cc1,10.1021/jm9704560,,
10719687,198665,0,None,257,2,Human,9.7,pEC50,=,9.7,Functional,"Agonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1DreceptorAgonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1Dreceptor",ChEMBL,485,7,1,4,5.7,FC1(Cc2ccccc2C(F)(F)F)CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,10.1021/jm981133m,,
CHEMBL63167,198665,0,None,257,2,Human,9.7,pEC50,=,9.7,Functional,"Agonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1DreceptorAgonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1Dreceptor",ChEMBL,485,7,1,4,5.7,FC1(Cc2ccccc2C(F)(F)F)CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,10.1021/jm981133m,,
11798094,54377,0,None,12,2,Human,9.7,pEC50,=,9.7,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,457,8,2,6,3.5,CC(=O)Nc1cccc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)c1,10.1021/jm980569z,,
CHEMBL161176,54377,0,None,12,2,Human,9.7,pEC50,=,9.7,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,457,8,2,6,3.5,CC(=O)Nc1cccc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)c1,10.1021/jm980569z,,
44214559,56145,0,None,35,2,Human,9.7,pEC50,=,9.7,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,443,8,2,6,2.5,NC(=O)C(c1ccccc1)N1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,10.1021/jm980569z,,
CHEMBL163462,56145,0,None,35,2,Human,9.7,pEC50,=,9.7,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,443,8,2,6,2.5,NC(=O)C(c1ccccc1)N1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,10.1021/jm980569z,,
10621021,199047,0,None,66,2,Human,9.7,pEC50,=,9.7,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,400,7,1,5,3.5,c1ccc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)cc1,10.1021/jm980569z,,
CHEMBL65367,199047,0,None,66,2,Human,9.7,pEC50,=,9.7,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,400,7,1,5,3.5,c1ccc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)cc1,10.1021/jm980569z,,
10376578,120450,3,None,-,1,Human,9.7,pEC50,=,9.7,Functional,Abilitytoinhibitforskolin-stimulatedadenylatecyclaseinacelllineexpressinghuman5-hydroxytryptamine1DreceptorAbilitytoinhibitforskolin-stimulatedadenylatecyclaseinacelllineexpressinghuman5-hydroxytryptamine1Dreceptor,ChEMBL,230,3,2,1,3.2,CNCCc1c[nH]c2ccc(C(C)(C)C)cc12,10.1021/jm9805945,,
CHEMBL357034,120450,3,None,-,1,Human,9.7,pEC50,=,9.7,Functional,Abilitytoinhibitforskolin-stimulatedadenylatecyclaseinacelllineexpressinghuman5-hydroxytryptamine1DreceptorAbilitytoinhibitforskolin-stimulatedadenylatecyclaseinacelllineexpressinghuman5-hydroxytryptamine1Dreceptor,ChEMBL,230,3,2,1,3.2,CNCCc1c[nH]c2ccc(C(C)(C)C)cc12,10.1021/jm9805945,,
44373641,119617,0,None,354,2,Human,9.6,pEC50,=,9.6,Functional,Compoundwastestedforitsabilityinhibitforskolin-stimulatedactivityofadenylatecyclasecoupledtohuman5-hydroxytryptamine1DreceptorbetainCHO-K1cells,valuerangesfrom0.24-0.55Compoundwastestedforitsabilityinhibitforskolin-stimulatedactivityofadenylatecyclasecoupledtohuman5-hydroxytryptamine1DreceptorbetainCHO-K1cells,valuerangesfrom0.24-0.55,ChEMBL,408,7,2,5,2.4,COc1cccc(N2CCN(C(=O)COc3ccc4[nH]cc(CCN)c4c3)CC2)c1,10.1016/0960-894X(95)00091-7
CHEMBL352234,119617,0,None,354,2,Human,9.6,pEC50,=,9.6,Functional,Compoundwastestedforitsabilityinhibitforskolin-stimulatedactivityofadenylatecyclasecoupledtohuman5-hydroxytryptamine1DreceptorbetainCHO-K1cells,valuerangesfrom0.24-0.55Compoundwastestedforitsabilityinhibitforskolin-stimulatedactivityofadenylatecyclasecoupledtohuman5-hydroxytryptamine1DreceptorbetainCHO-K1cells,valuerangesfrom0.24-0.55,ChEMBL,408,7,2,5,2.4,COc1cccc(N2CCN(C(=O)COc3ccc4[nH]cc(CCN)c4c3)CC2)c1,10.1016/0960-894X(95)00091-7
9796492,29733,0,None,-,1,Human,9.5,pEC50,=,9.5,Functional,Abilitytoinhibitforskolin-stimulatedadenylatecyclaseactivityinChinesehamsterovary(CHO)stablecelllinesexpressinghuman5-hydroxytryptamine1DreceptorAbilitytoinhibitforskolin-stimulatedadenylatecyclaseactivityinChinesehamsterovary(CHO)stablecelllinesexpressinghuman5-hydroxytryptamine1Dreceptor,ChEMBL,304,4,1,4,2.9,CN(C)CCn1ccc2ccc(C3(O)CCSCC3)cc21,10.1016/j.bmcl.2003.09.025,,
CHEMBL138872,29733,0,None,-,1,Human,9.5,pEC50,=,9.5,Functional,Abilitytoinhibitforskolin-stimulatedadenylatecyclaseactivityinChinesehamsterovary(CHO)stablecelllinesexpressinghuman5-hydroxytryptamine1DreceptorAbilitytoinhibitforskolin-stimulatedadenylatecyclaseactivityinChinesehamsterovary(CHO)stablecelllinesexpressinghuman5-hydroxytryptamine1Dreceptor,ChEMBL,304,4,1,4,2.9,CN(C)CCn1ccc2ccc(C3(O)CCSCC3)cc21,10.1016/j.bmcl.2003.09.025,,
10502669,56208,0,None,70,2,Human,9.5,pEC50,=,9.5,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthe5-hydroxytryptamine1DreceptorStimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthe5-hydroxytryptamine1Dreceptor",ChEMBL,428,8,2,5,4.1,CC(C)(NC[C@@H]1CCN(CCc2c[nH]c3ccc(-n4cnnc4)cc23)C1)c1ccccc1,10.1021/jm9805687,,
CHEMBL164046,56208,0,None,70,2,Human,9.5,pEC50,=,9.5,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthe5-hydroxytryptamine1DreceptorStimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthe5-hydroxytryptamine1Dreceptor",ChEMBL,428,8,2,5,4.1,CC(C)(NC[C@@H]1CCN(CCc2c[nH]c3ccc(-n4cnnc4)cc23)C1)c1ccccc1,10.1021/jm9805687,,
10716915,54801,0,None,114,2,Human,9.5,pEC50,=,9.5,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,418,7,1,5,3.6,Fc1ccc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)cc1,10.1021/jm980569z,,
CHEMBL161723,54801,0,None,114,2,Human,9.5,pEC50,=,9.5,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,418,7,1,5,3.6,Fc1ccc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)cc1,10.1021/jm980569z,,
10574570,55881,0,None,91,2,Human,9.5,pEC50,=,9.5,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,428,8,1,5,4.1,CC(CN1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1)c1ccccc1,10.1021/jm980569z,,
CHEMBL162722,55881,0,None,91,2,Human,9.5,pEC50,=,9.5,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,428,8,1,5,4.1,CC(CN1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1)c1ccccc1,10.1021/jm980569z,,
10788768,56142,0,None,20,2,Human,9.5,pEC50,=,9.5,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,430,8,2,6,3.0,OCC(c1ccccc1)N1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,10.1021/jm980569z,,
CHEMBL163386,56142,0,None,20,2,Human,9.5,pEC50,=,9.5,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,430,8,2,6,3.0,OCC(c1ccccc1)N1CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,10.1021/jm980569z,,
10644750,56159,0,None,51,2,Human,9.5,pEC50,=,9.5,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,401,7,1,6,2.9,c1ccc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)nc1,10.1021/jm980569z,,
CHEMBL163573,56159,0,None,51,2,Human,9.5,pEC50,=,9.5,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,401,7,1,6,2.9,c1ccc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)nc1,10.1021/jm980569z,,
10596566,56216,0,None,46,2,Human,9.5,pEC50,=,9.5,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,390,7,1,6,3.1,c1cc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)co1,10.1021/jm980569z,,
CHEMBL164111,56216,0,None,46,2,Human,9.5,pEC50,=,9.5,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,390,7,1,6,3.1,c1cc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)co1,10.1021/jm980569z,,
10834909,164222,0,None,72,2,Human,9.5,pEC50,=,9.5,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,401,7,1,6,2.9,c1cncc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)c1,10.1021/jm980569z,,
CHEMBL422366,164222,0,None,72,2,Human,9.5,pEC50,=,9.5,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthehuman5-hydroxytryptamine1Dreceptor.",ChEMBL,401,7,1,6,2.9,c1cncc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)c1,10.1021/jm980569z,,
9844873,100498,0,None,48,2,Human,9.4,pEC50,=,9.4,Functional,"Agonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1DreceptorAgonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1Dreceptor",ChEMBL,417,7,1,4,4.7,FC1(Cc2ccccc2)CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,10.1021/jm981133m,,
CHEMBL294732,100498,0,None,48,2,Human,9.4,pEC50,=,9.4,Functional,"Agonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1DreceptorAgonist-induced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwithhuman5-hydroxytryptamine1Dreceptor",ChEMBL,417,7,1,4,4.7,FC1(Cc2ccccc2)CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,10.1021/jm981133m,,
9881526,100687,0,None,3,2,Human,9.4,pEC50,=,9.4,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthe5-hydroxytryptamine1DreceptorStimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthe5-hydroxytryptamine1Dreceptor",ChEMBL,255,4,1,4,1.9,CN(C)CCc1c[nH]c2ccc(-n3cnnc3)cc12,10.1021/jm9805687,,
9881526,100687,0,None,3,2,Human,9.4,pEC50,=,9.4,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthe5-hydroxytryptamine1DreceptorStimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthe5-hydroxytryptamine1Dreceptor",ChEMBL,255,4,1,4,1.9,CN(C)CCc1c[nH]c2ccc(-n3cnnc3)cc12,10.1021/jm980569z,,
CHEMBL296161,100687,0,None,3,2,Human,9.4,pEC50,=,9.4,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthe5-hydroxytryptamine1DreceptorStimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthe5-hydroxytryptamine1Dreceptor",ChEMBL,255,4,1,4,1.9,CN(C)CCc1c[nH]c2ccc(-n3cnnc3)cc12,10.1021/jm9805687,,
CHEMBL296161,100687,0,None,3,2,Human,9.4,pEC50,=,9.4,Functional,"Stimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthe5-hydroxytryptamine1DreceptorStimulationof[35S]GTP-gamma-S,bindinginCHOcellsexpressingthe5-hydroxytryptamine1Dreceptor",ChEMBL,255,4,1,4,1.9,CN(C)CCc1c[nH]c2ccc(-n3cnnc3)cc12,10.1021/jm980569z,,
9999722,163484,0,None,112,2,Human,9.4,pEC50,=,9.4,Functional,Compoundwastestedforitsabilityinhibitforskolin-stimulatedactivityofadenylatecyclasecoupledtohuman5-HT1D-betareceptorinCHO-K1cellsCompoundwastestedforitsabilityinhibitforskolin-stimulatedactivityofadenylatecyclasecoupledtohuman5-HT1D-betareceptorinCHO-K1cells,ChEMBL,378,6,2,4,2.4,NCCc1c[nH]c2ccc(OCC(=O)N3CCN(c4ccccc4)CC3)cc12,10.1016/0960-894X(95)00091-7,,
CHEMBL421064,163484,0,None,112,2,Human,9.4,pEC50,=,9.4,Functional,Compoundwastestedforitsabilityinhibitforskolin-stimulatedactivityofadenylatecyclasecoupledtohuman5-HT1D-betareceptorinCHO-K1cellsCompoundwastestedforitsabilityinhibitforskolin-stimulatedactivityofadenylatecyclasecoupledtohuman5-HT1D-betareceptorinCHO-K1cells,ChEMBL,378,6,2,4,2.4,NCCc1c[nH]c2ccc(OCC(=O)N3CCN(c4ccccc4)CC3)cc12,10.1016/0960-894X(95)00091-7,,
9881526,100687,0,None,3,2,Human,9.4,pEC50,=,9.4,Functional,"Measurementofagonistinduced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwith5-hydroxytryptamine1Dreceptor.Measurementofagonistinduced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwith5-hydroxytryptamine1Dreceptor.",ChEMBL,255,4,1,4,1.9,CN(C)CCc1c[nH]c2ccc(-n3cnnc3)cc12,10.1021/jm9704558,,
CHEMBL296161,100687,0,None,3,2,Human,9.4,pEC50,=,9.4,Functional,"Measurementofagonistinduced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwith5-hydroxytryptamine1Dreceptor.Measurementofagonistinduced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwith5-hydroxytryptamine1Dreceptor.",ChEMBL,255,4,1,4,1.9,CN(C)CCc1c[nH]c2ccc(-n3cnnc3)cc12,10.1021/jm9704558,,
9844873,100498,0,None,48,2,Human,9.3,pEC50,=,9.3,Functional,"Agonistinduced[35S]GTP-gamma-S,bindinginCHOcellsexpressing5-HT1dreceptorAgonistinduced[35S]GTP-gamma-S,bindinginCHOcellsexpressing5-HT1dreceptor",ChEMBL,417,7,1,4,4.7,FC1(Cc2ccccc2)CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,10.1021/jm980204e,,
CHEMBL294732,100498,0,None,48,2,Human,9.3,pEC50,=,9.3,Functional,"Agonistinduced[35S]GTP-gamma-S,bindinginCHOcellsexpressing5-HT1dreceptorAgonistinduced[35S]GTP-gamma-S,bindinginCHOcellsexpressing5-HT1dreceptor",ChEMBL,417,7,1,4,4.7,FC1(Cc2ccccc2)CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,10.1021/jm980204e,,
10319498,201471,0,None,-,1,Human,9.3,pEC50,=,9.3,Functional,"Measurementofagonistinduced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwith5-hydroxytryptamine1DreceptorMeasurementofagonistinduced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwith5-hydroxytryptamine1Dreceptor",ChEMBL,412,5,1,5,3.5,CN1[C@@H](Cc2c[nH]c3ccc(-n4cnnc4)cc23)C[C@@H]2CN(Cc3ccccc3)C[C@@H]21,10.1016/s0960-894x(99)00409-6,,
CHEMBL83426,201471,0,None,-,1,Human,9.3,pEC50,=,9.3,Functional,"Measurementofagonistinduced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwith5-hydroxytryptamine1DreceptorMeasurementofagonistinduced[35S]GTP-gamma-S,bindinginCHOcellsstablytransfectedwith5-hydroxytryptamine1Dreceptor",ChEMBL,412,5,1,5,3.5,CN1[C@@H](Cc2c[nH]c3ccc(-n4cnnc4)cc23)C[C@@H]2CN(Cc3ccccc3)C[C@@H]21,10.1016/s0960-894x(99)00409-6,,
